ADR,Organization-Project,primary_category,explanation,max_confidence_value
0012-reimplement-gov-uk-frontend-javascript-internally-to-this-library.md,"('LBHackney-IT', 'lbh-frontend-react')",Existence (ontocrisis),"The ADR explicitly states the decision to support IndexedDB as a data store layer, which involves the creation and integration of a specific storage element into the architecture. This is a structural decision about the existence of a data storage component within the system.",0.85
0007-use-postgres-search.md,"('LBHackney-IT', 'report-a-defect')",Executive (pericrisis),"The ADR pertains to a strategic choice about the deployment environment and resource planning (Heroku Postgres plan), which is driven by business considerations such as cost, capacity, and scaling strategy. It does not specify structural or behavioral design elements nor constraints or rules about the system's architecture, but rather organizational and operational decisions affecting the deployment environment.",0.7
adr-8-dome-ingest.md,"('MITLibraries', 'dos-server')",Executive (pericrisis),"The ADR pertains to choosing a programming language based on technical and operational factors, which are influenced by organizational, business, and environmental considerations. This decision is driven by external constraints such as deployment environment (AWS Lambda), ecosystem support, and team familiarity, rather than directly defining system structure, behavior, or properties.",0.5
0005-use-aws-lambda.md,"('MITLibraries', 'mario')",Existence (ontocrisis),"The ADR explicitly states a decision to adopt a specific documentation standard (OpenAPI Specification) for API documentation, which involves the creation or utilization of an architectural element (the API documentation standard). This aligns with the 'existence' category, as it pertains to the decision to implement or use a particular artifact or element within the architecture.",0.85
0005-docker-containers-for-everything.md,"('NERC-CEH', 'datalab')",Existence (ontocrisis),"The ADR explicitly discusses replacing an existing proxy component (Redbird) with a new one (Traefik), which involves the creation and deployment of a specific architectural element. The decision to adopt Traefik and remove Redbird directly relates to the existence and configuration of system components.",0.85
0007-kubernetes-for-container-orchestration.md,"('NERC-CEH', 'datalab')",Existence (ontocrisis),"The ADR explicitly discusses the decision to implement a specific reverse proxy (Kong) and replace an existing one (Traefik), which involves creating or choosing an architectural element within the system. This aligns with the structural aspect of existence decisions, as it pertains to the inclusion of a specific component in the architecture.",0.85
0039-prometheus-operator-helm-chart.md,"('NERC-CEH', 'datalab')",Existence (ontocrisis),"The ADR explicitly discusses the decision to adopt Kubernetes' native secret mechanism, which involves creating and managing a new architectural element (the Kubernetes secret resource). This is a structural decision that affects the system's architecture by introducing a specific artifact to handle secrets.",0.85
0003.md,"('ONSdigital', 'dp')",Ban/Non-Existence (anticrisis),"The ADR explicitly states that hierarchies and code lists do not need to be published or have preview options, effectively ruling out their existence in certain contexts. This aligns with the concept of declaring that specific elements will not exist or be exposed in the system, which is characteristic of an anticrisis decision.",0.7
0003-replace-rdb-with-json.md,"('ONSdigital', 'eq-author-app')",Existence (ontocrisis),"The ADR describes a decision to implement a specific mechanism for identifying keys in message headers, which involves the creation and use of a new element ('kid') in the message structure. This directly relates to the structural aspect of the architecture, specifically the existence and utilization of the 'kid' element within the message format.",0.85
0010-cookies.md,"('ONSdigital', 'eq-questionnaire-runner')",Existence (ontocrisis),"The ADR explicitly discusses the choice of a specific database technology (Neo4J) over others, which directly relates to the existence or non-existence of certain system elements (databases). It involves selecting a data storage component and justifies its inclusion based on data model fit, indicating a structural decision about system artifacts.",0.85
0010-use-jest-and-cypress-for-tests.md,"('PakkuDon', 'SoundCloudVisualizer')",Existence (ontocrisis),"The ADR primarily discusses the implementation of an asynchronous lock release mechanism, which involves the creation and management of lock tokens and their release process. This directly relates to the structural aspect of the architecture, specifically the existence and management of lock elements within the system. The decision focuses on how locks are maintained, released, and the concurrency model for managing lock tokens, all of which are structural decisions about the existence and handling of locks in the system.",0.85
0004-client-side-routing-using-history-api-and-redirects.md,"('PakkuDon', 'pixel-art-gallery')",Existence (ontocrisis),"The decision to rewrite the application in AngularJS 1.x directly involves creating and implementing a new structural element (the AngularJS framework) into the system. This is a structural decision that declares the existence of AngularJS as a core part of the architecture, including the transformation of existing code into AngularJS constructs such as controllers, directives, templates, and services.",0.85
0016-structure-of-error-object.md,"('SAP', 'cloud-sdk-js')",Existence (ontocrisis),"The ADR primarily discusses the handling and extension of API endpoints for OData navigation properties, which involves declaring the existence of specific API paths and URL structures. The focus is on how to implement and support these URL patterns, which directly relates to the structural aspect of the architecture, i.e., the existence of certain API endpoints and URL paths.",0.85
0019-openapi-generator-naming.md,"('SAP', 'cloud-sdk-js')",Executive (pericrisis),"The ADR discusses a strategic choice to support x509-based authentication within the SDK, which impacts the development process, future-proofing, and security practices. It involves a decision about how the system will evolve and how the token retrieval process will be implemented, driven by technical and security considerations rather than structural or organizational constraints.",0.9
form-field-variations.md,"('SFDigitalServices', 'webform')",Existence (ontocrisis),"The ADR primarily discusses the creation and management of notification titles, which are elements that will exist in the system's architecture. It specifies implementing a global default title, removing redundant titles, and managing notification types centrally, all of which are structural decisions about the existence and organization of notification elements within the system.",0.85
writing-docs.md,"('Skyscanner', 'backpack')",Existence (ontocrisis),The ADR discusses a decision to implement a specific behavior—loading the project context lazily—which involves the creation and management of a system artifact (the context object). This is a structural decision about the existence and initialization of a component within the system.,0.85
0005-use-redis-and-bull-for-background-tasks.md,"('SmartBear', 'git-en-boite')",Existence (ontocrisis),"The ADR primarily discusses the creation and structuring of a Git repository interface and its associated components, such as implementing a port, delegating operations, and managing worker processes. These are structural decisions about what elements will exist in the system and how they are organized, fitting the 'Existence' category.",0.85
0011-put-integration-tests-in-seperate-folder.md,"('StuPro-TOSCAna', 'TOSCAna')",Executive (pericrisis),"The ADR primarily addresses a strategic choice related to the scope and capabilities of the system, specifically whether to support node type definitions in TOSCA templates. It considers resource constraints, effort, and benefits, which are organizational and business considerations rather than structural, behavioral, or property concerns. The decision is driven by practical constraints and strategic priorities, fitting the executive decision category.",0.8
0016-not-supporting-type-definitions.md,"('StuPro-TOSCAna', 'TOSCAna')",Existence (ontocrisis),"The ADR discusses choosing and using a specific tool (CloudFormation Builder) to create CloudFormation templates, which involves the creation and utilization of an architectural element (the builder tool). The decision centers on the existence and integration of this component within the system architecture.",0.85
2020_05_13_handling_non_crud_operations_in_api.md,"('Sylius', 'Sylius')",Existence (ontocrisis),"The ADR discusses the decision to implement a transformation process that ensures certain elements (IRIs) will exist in the system and be used in requests, which directly relates to the structural aspect of the architecture. It involves creating mechanisms (services and mappings) that handle the existence and transformation of identifiers, aligning with the structural decision category.",0.85
0005-inject-ab-config-global-values-toPresenter.md,"('Trendyol', 'ios-architecture-decision-logs')",Executive (pericrisis),"The ADR primarily addresses organizational and procedural aspects related to design guidelines, team coordination, and adherence to standards, rather than structural, behavioral, or property aspects of the system architecture. It involves decisions about how the team should operate and enforce design rules, which aligns with executive decisions that influence the development process and organizational policies.",0.7
0011-use-govuk-design-system-form-builder.md,"('UKGovernmentBEIS', 'beis-report-official-development-assistance')",Executive (pericrisis),"The ADR primarily concerns a process and organizational decision to adopt a specific tool (Brakeman) for security analysis, and to integrate it into the development workflow. It relates to operational and procedural choices driven by organizational needs and security policies rather than directly defining system structure, behavior, or properties.",0.6
0019-use-data-migrations-to-update-live-data.md,"('UKGovernmentBEIS', 'beis-report-official-development-assistance')",Existence (ontocrisis),"The ADR explicitly discusses using Terraform to set up and deploy infrastructure components, which involves creating and managing infrastructure elements such as spaces, services, and applications. This aligns with the structural aspect of declaring elements that will exist in the system.",0.85
0024-use-scripts-to-rule-them-all.md,"('UKGovernmentBEIS', 'beis-report-official-development-assistance')",Executive (pericrisis),"The ADR primarily addresses a process change in how data migrations are handled, shifting from an automated to a manual process. This decision impacts the development and deployment process, organizational practices, and operational procedures rather than the system's structural or quality attributes. It is driven by concerns about reliability and control, which are organizational and procedural considerations typical of executive decisions.",0.7
0009-remove-hal-links.md,"('UST-QuAntiL', 'qc-atlas')",Existence (ontocrisis),"The ADR explicitly discusses the implementation of asymmetric JWT signing, which involves the creation and management of cryptographic keys (public/private key pairs). This decision directly pertains to the existence and configuration of system elements (keys) necessary for signing and verification processes, aligning with structural and behavioral aspects of the system's architecture.",0.85
0002-use-sha256-with-base64url-encoding.md,"('VirtualProgrammingLab', 'documentation')",Property (diacrisis),"The ADR discusses choosing a method for verifying data integrity, which involves defining a property or constraint related to data transfer and verification. It specifies the decision to use SHA256 hashes and encoding formats, which are enduring qualities or constraints affecting the system's behavior.",0.7
adr-0003-nix-for-dependency-management.md,"('Vodurden', 'CrossyToad')",Existence (ontocrisis),"The ADR discusses supporting both discrete and continuous input by implementing mechanisms to detect and process these input types, which involves creating or modifying system components (input layer, state machinery). This aligns with structural decisions about what elements will exist in the system to handle input processing.",0.85
0007-follow-optimistic-concurrency.md,"('VolleyManagement', 'volley-management')",Property (diacrisis),"The ADR focuses on establishing guidelines and best practices to prevent certain coding patterns and code smells, which are qualities or constraints affecting the system's development and maintainability. It does not specify structural elements, non-existence of elements, or organizational/business decisions, but rather defines qualities and constraints to improve code quality.",0.7
adr-007-pa-dep-client-app.md,"('WikiWatershed', 'model-my-watershed')",Existence (ontocrisis),"The ADR discusses the decision to adopt Vue.js as the new frontend framework, which involves creating and implementing new architectural elements (Vue components, Vuex modules) and refactoring existing code. This directly relates to the structural aspect of architecture, specifically the creation and organization of system components and their interactions.",0.85
0004-asset-integrity-check.md,"('Y2Z', 'monolith')",Existence (ontocrisis),"The ADR explicitly states the decision to use Create React App to establish a uniform project structure, which is a structural element of the architecture. It also discusses the choice of package manager (NPM), which relates to the existence of certain tools and artifacts within the system.",0.9
0277-run-action-shell-options.md,"('actions', 'runner')",Existence (ontocrisis),"The ADR primarily discusses the configuration and support of different shells within a platform, focusing on how shells are instantiated and used during script execution. It details the default behaviors, command templates, and supported shell types, which are all related to the creation and existence of shell elements in the system.",0.85
0002-add-default-implementations-to-componentlifecycle.md,"('adaptris', 'interlok')",Existence (ontocrisis),"The ADR discusses adding default implementations to an interface, which directly relates to defining or modifying the existence of system elements (interfaces and their behaviors). It focuses on the structural aspect of the system's components, specifically the ComponentLifecycle interface, and how it will exist or be extended in the design.",0.85
0004-expose-services-through-rest-api.md,"('adhuc-projects', 'cena')",Existence (ontocrisis),"The ADR describes the decision to implement an API following REST architectural style, which involves defining and exposing specific resources and their interactions. This directly relates to the structural aspect of architecture—specifically, the creation and organization of system elements (resources, endpoints) and their interactions, which aligns with the 'Existence' category.",0.85
0005-help-comments.md,"('adoble', 'adr-j')",Existence (ontocrisis),"The ADR primarily concerns the decision to implement a help command with associated documentation, which involves the creation and annotation of code elements (command classes) with usage documentation. This is a structural decision about the existence and organization of help-related components within the system.",0.85
0005-we-chose-our-primary-cloud-provider.md,"('agnesei', 'clone_difitalcitizenship')",Existence (ontocrisis),"The ADR primarily discusses the selection and utilization of specific cloud services and components (e.g., CosmosDB, Queue Storage, Functions, Notification Hubs, Application Insights) provided by Microsoft Azure. This involves decisions about which elements will exist in the architecture to fulfill the system's requirements, aligning with the structural and behavioral aspects of existence decisions.",0.85
0013-show-no-kickers-for-ties.md,"('alexanderbird', 'texas-holdem-code-challenge')",Existence (ontocrisis),"The ADR explicitly states a decision not to display certain elements (kickers) in the user interface when ties occur, which relates to the presence or absence of specific visual or functional elements in the system. This is a structural decision about what will or will not be shown in the system's presentation layer.",0.8
0005-minimize-the-amount-of-code-that-must-be-tested-in-the-browser.md,"('alexanderbird', 'where-away')",Executive (pericrisis),"The ADR focuses on a process-related decision to optimize testing and build processes, which impacts the development methodology and tooling rather than the system's structural or behavioral architecture. It is driven by practical, organizational, and process considerations rather than the design of system components or qualities.",0.7
adr-006-track-metrics-via-time-dimension.md,"('alphagov', 'content-data-api')",Existence (ontocrisis),"The ADR explicitly discusses building a data warehouse to create a new architectural artifact that consolidates data from multiple sources. This decision involves the creation and existence of a new structural component (the data warehouse) within the system architecture, aligning with the 'Existence' category.",0.85
0005-avoiding-initialisation-flickers.md,"('alphagov', 'content-publisher')",Existence (ontocrisis),"The ADR discusses implementing a specific approach to control the presence of CSS classes (`js-enabled`, `js-failed`) on the HTML body element to manage content visibility during page load. This directly involves the creation and management of DOM elements and their states, which are structural elements in the architecture.",0.85
0008-interrogation-method-iam-role.md,"('alphagov', 'csw-backend')",Existence (ontocrisis),"The ADR primarily discusses creating an IAM role and policy, which are concrete artifacts that will exist in the system. The decision focuses on the structural aspect of deploying specific elements (IAM role and policy) to enable access, aligning with the 'existence' category.",0.85
adr-003-initial-data-retention-strategy.md,"('alphagov', 'email-alert-api')",Existence (ontocrisis),"The ADR primarily discusses data retention, archiving, and the creation or modification of data storage elements such as tables, fields, and data archiving processes. These are structural decisions related to the existence and organization of data artifacts within the system.",0.85
0006-puppet-architecture.md,"('alphagov', 'govuk-aws')",Existence (ontocrisis),"The ADR explicitly discusses architectural elements related to the Puppetmaster, including the decision to use or not use a Puppetmaster, which directly pertains to the existence of this component within the system architecture. The decision to adopt a Puppetmaster aligns with structural architectural decisions about system components.",0.85
0017-terraform-data-structure.md,"('alphagov', 'govuk-aws')",Existence (ontocrisis),"The ADR describes a specific directory and file structure for Terraform data configurations, which directly relates to the creation and organization of system artifacts. It specifies what elements (data structures, files, directories) will exist in the system, aligning with the structural aspect of the existence category.",0.85
0022-remove-the-elasticsearch-proxy.md,"('alphagov', 'govuk-aws')",Existence (ontocrisis),"The ADR discusses the removal of an existing proxy component (Elasticsearch proxy), which directly relates to the existence or non-existence of system elements. The decision to remove the proxy and rely on AWS ELB involves structural decisions about system components and their interactions.",0.85
0010-use-dex-idp-for-user-web-auth.md,"('alphagov', 'govuk-infrastructure')",Existence (ontocrisis),"The ADR primarily discusses the implementation of an authentication component (Dex) to provide user authentication services across web applications. This decision involves establishing the existence of a new system component (Dex) that will serve as a single sign-on (SSO) service, integrating with other systems and protocols. The focus is on creating and deploying an architectural element that will exist within the system to fulfill authentication requirements.",0.85
