text;ADR;Organization-Project;primary_category;explanation;max_confidence_value;human;Agreement
'2021-07-02 - wearable committee reverts The wearables committee needs to be able to revert wearables to a previous version. This is because there is a small time window where the committee might approve one version of a wearable, but the collection owner then deploys a new version. Now, there is a property on the collections subgraph called contentHash. This property is a string that can be used by the committee to specify a specific wearable version. The questions is what how to specify such version. Option 1 seems like the easiest, but it has a problem. The validation mechanism uses the entity's timestamp to determine which block to check the values from. Therefore, the timestamp needs to be after the blockchain was modified in step (4), but it also has to be a timestamp of a block that has already been mined. This is because the validation would fail if there is no block for a specific timestamp. So choosing a time in the future that needs to be after step (4) but not too far into the future can be extremely flaky. That's why we decided to go with option 2. @nchamo @mendez The first option would be to: 1. Download the wearable version from a catalyst 2. Change the timestamp 3. Hash the whole wearable again 4. Save this hash on the blockchain (with the contentHash property) 5. Have anyone deploy the new wearable version 6. The catalyst would check that the deployed entity's id would match the contentHash The second option would be to: 1. Download the wearable version from a catalyst 2. Take the metadata & content properties from the wearable 3. Hash the value of those to properties 4. Save this hash on the blockchain (with the contentHash property) 5. Have a committee member deploy the new wearable version 6. The catalyst would: * Take those two properties, hash them and check that it matches the contentHash * Verify that the deployer is a committee member Note: we need to make sure that only a committee member can make this type of deployments, because if we remove this validation, a possible attacker could make multiple deployments of the same wearable. They would only need to change the timestamp, and they could fill the database rather easily.';ADR-32-wearable-committee-reverts.md;('anilewek', 'adr');Design;The ADR discusses the approach to how wearable versions are specified and validated, focusing on the method of hashing metadata and content to ensure integrity and proper deployment. This pertains to the logical organization and structure of the system's versioning and validation mechanism, which falls under Design related to data modeling and system logic.;0,85;Design;1.0
'catalyst api and protocol refinement Rejected by DAO /deployments: We are not aware if this endpoint is being used for anything else besides the Catalyst synchronization and bootstrapping processes. The fetchAllDeployments method from the Catalyst Client will only be available to be used by the Catalyst Servers in order to sync all the Content Service history. The rest of the changes should not cause any impact on the Catalyst clients The Catalyst API has been evolving and adding different functionalities, endpoints and parameters as needed by the evolving platform requirements. Because of this needs, some changes while good decissions at the moment to unblock features, were not thought hollistically or now they may be causing too much unneded Data Transfer cost or have room for perfomance improvement for the Catalysts core processes like Bootstrapping and Synchronization. After reviewing the Catalyst API we defined a set of changes to clean up and close a first version of the Catalyst Protocol. The changes that will be described below will enable us to: - Reduce Data Transfer cost by only narrow down the response bodies to only return the needed information - Reduce public API complexity by hiding endpoints that are only inteended for troubleshooting, this will also reduce hits to endpoints that should not be used externally - Improve the Catalyst bootstrapping and synchronization time by reducing the amount of request and information recieved for the synchronization - Do a more efficient use of the DB - Open the door to create new Catalyst implementation based on this protocol definition List of API changes: Deprecated endpoints won't be part of the Catalyst Protocol definition but we may keep some of them as internal troubleshooting tools, these endpoints will require a key in order to be used. Those endpoints that will be removed from the Protocol but remain available for internal use, have the SECURE tag in the change description. Endpoints not mentioned in the following list will not suffer any change. | Endpoint                                                         | Deprecate YES/NO | Change Description                                                                                                                                                                                                                                                                                                                                                                                                                                                          | |------------------------------------------------------------------|------------------|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------| | /content/deployments                                           | YES              | SECURE: This endpoint consumes DB resources inefficiently  as it's equivalent to a SELECT ALL. This endpoint also has a complex UX with the application of many filters and a lot of parameters. We are going to tag this as TROUBLESHOOTING and add 2 new endpoints: one to retrieve the list of all pointers and another to retrieve the history of a given list of pointers. Catalyst synchronization will be done using /snapshots and /pointer-changes. | | /content/pointers/{entityType}                                 | New endpoint     | Given an entity type (scene, wearables) this endpoint returns the list of all the pointers paginated                                                                                                                                                                                                                                                                                                                                                                        | | /content/pointers/{entityType}/history?pointer=0,0&pointer=1,1 | New endpoint     | Given a list of pointers of the specified entity type, returns the history of deployments                                                                                                                                                                                                                                                                                                                                                                                   | | /contents/{hashId}/active-entities                             | NO               | SECURE: Change resource to /entities and include a parameter to expand it's functionality in order to be able to retrieve inactive entities                                                                                                                                                                                                                                                                                                                    | | /content/failed-deployments                                    | YES              | SECURE: This endpoint should be removed from the public API, and only be used with a key for the Catalyst Monitor and for troubleshooting or the auto-fix deployments functionality                                                                                                                                                                                                                                                                              | | /lambdas/health                                                | NO               | We need to add more information like the Unhealthy message. Currently you get an unhealthy state and no information about why the service is unhealthy                                                                                                                                                                                                                                                                                                                      | | /lambdas/contentv2/scenes                                      | YES              | Do we need the v2? this endpoint should be generic to retrieve the list of scenes of a given coordinates                                                                                                                                                                                                                                                                                                                                                                    | | /lambdas/contentv2/parcel_info                                 | YES              | The information provided by this endpoint is presnet in /content/entities/{entityType}?id={cid}. We are going to add some filters to the existing endpoint to help you select which part of the entity you want to retrieve, e.g. content, metadata                                                                                                                                                                                                                       | | /lambdas/contentv2/contents/{cid}                              | YES              | There are old entities v2 that are still requested and may still be valid. We need to see if we can update these entities and deprecate this endpoint                                                                                                                                                                                                                                                                                                                       | | /lambdas/crypto/validate-signature                             | YES              | SECURE: This should be done with a library in the client side. Add a new lambda to return the Graph URL that we are using or add this information to the /lambdas/contracts/servers endpoint                                                                                                                                                                                                                                                                                      | | /comms/islands                                                 | YES              | SECURE: Remove from the public API and add a key to use this information for troubleshooting                                                                                                                                                                                                                                                                                                                                                                     | | /comms/islands/{islandId}                                      | YES              | SECURE: Remove from the public API and add a key to use this information for troubleshooting                                                                                                                                                                                                                                                                                                                                                                     | | /comms/peers                                                   | YES              | SECURE: Remove from the public API and add a key to use this information for troubleshooting                                                                                                                                                                                                                                                                                                                                                                     |';ADR-43-catalyst-api-refinment.md;('anilewek', 'adr');Technology;The ADR primarily discusses changes to API endpoints, including deprecations, additions, and modifications, which are directly related to the selection and management of technologies and protocols used in the system. It focuses on refining the API protocol, improving performance, security, and internal tooling, all of which are technology-related decisions.;0,70;Technology;1.0
"'royalties manager v1 The user generated collections (Decentraland Collections V2) does not support royalties out of the box when a transfer occurs. Decentraland marketplaces (Marketplace and Bid) can support royalties with the help of a new module: Royalties Manager. For the first version, the royalties manager will return just the royalties receiver which is the address where the royalties should be sent. The royalties receiver is going to be defined by quering the collection on-chain: If the item has a beneficiary, then the royalties receiver will be the item beneficiary. If not, If the collection creator is not the zero address, The collection creator will be returned as the royalties receiver. If not, The address zero will be returned as the royalties receiver. Moreover, if the collection is not a Decentraland collection V2 compliant, the royalties receiver will be the zero address. The collection is compliant, if implements the following interface: solidity interface IERC721CollectionV2 { function creator() external view returns (address); function decodeTokenId(uint256 _tokenId) external view returns (uint256, uint256); function items(uint256 _itemId) external view returns (string memory, uint256, uint256, uint256, address, string memory, string memory); } RoyaltiesManager.sol @Agus F @Fer @Nico @Juanca @Lautaro @Nacho The interface proposed for the Royalties Manager is getRoyaltiesReceiver: must not revert at any circumstances (only run out of gas). It is 100% recommended to use staticCall to be 100% sure that it won't allow any state changes.'";ADR-46-royalties-manager-v1.md;('anilewek', 'adr');Design;The ADR focuses on defining a module (Royalties Manager) that interacts with on-chain interfaces to determine the recipient of royalties, which pertains to the logical organization and interaction of system components. It specifies an interface and the logic for retrieving royalties receiver addresses, aligning with design and component structuring rather than technology, infrastructure, or other categories.;0,85;Design;1.0
"'3. cqrs. Date: 2020-03-22 Accepted There are possible solutions for writing and reading operations: - use the same model; - use separate models; CQRS principle will be used. It gives the flexibility in optimizing model for read and write operations. The simple version of CQRS is implemented in this application. On write operations, full logic is executed via aggregate. On read operations, DTO objects are created via JPQL queries on repository level. - https://dzone.com/articles/cqrs-understanding-from-first-principles - https://stackoverflow.com/questions/24474859/what-is-the-difference-between-command-commandhandler-and-service'";0003-cqrs.md;('anton-liauchuk', 'educational-platform');Design;The ADR describes the adoption of the CQRS pattern, which pertains to the logical organization and structure of the system, specifically how read and write operations are separated and optimized. This is a classic example of a design decision related to system architecture patterns.;0,85;Design;1.0
'3. distributed workqueue Date: 2019-10-02 Accepted (lazy consensus) & implemented Superceded by 16. Distributed WorkQueue By switching the task manager to a distributed implementation, we need to be able to run a Task on any node of the cluster. For the time being we will keep the sequential execution property of the task manager. This is an intermediate milestone toward the final implementation which will drop this property. Use a RabbitMQ queue as a workqueue where only the Created events are pushed into. This queue will be exclusive and events will be consumed serially. Technically this means the queue will be consumed with a prefetch = 1. The queue will listen to the worker on the same node and will ack the message only once it is finished (Completed, Failed, Cancelled). It's a temporary and not safe to use in production solution: if the node promoted to exclusive listener of the queue dies, no more tasks will be run The serial execution of tasks does not leverage cluster scalability. JIRA ticket';0003-distributed-workqueue.md;('apache', 'james-project');Technology;The ADR primarily discusses the selection and configuration of a specific messaging technology, RabbitMQ, to implement a distributed work queue. It details the use of RabbitMQ queues, message acknowledgment strategies, and specific queue properties, which are characteristic of technology choices.;0,80;Technology;1.0
'5. distributed task termination ackowledgement Date: 2019-10-02 Accepted (lazy consensus) & implemented By switching the task manager to a distributed implementation, we need to be able to execute a Task on any node of the cluster. We need a way for nodes to be signaled of any termination event so that we can notify blocking clients. Creating a RabbitMQEventHandler which publish Events pushed to the task manager's event system to RabbitMQ All the events which end a Task (Completed, Failed, and Canceled) have to be transmitted to other nodes A new kind of Events should be created: TerminationEvent which includes Completed, Failed, and Canceled TerminationEvents will be broadcasted on an exchange which will be bound to all interested components later EventSourcingSystem.dipatch should use RabbitMQ to dispatch Events instead of triggering local Listeners Any node can be notified when a Task emits a termination event JIRA ticket';0005-distributed-task-termination-ackowledgement.md;('apache', 'james-project');Design;The ADR focuses on the design of a distributed task management system, specifically on how events related to task termination are propagated across nodes. It involves decisions about event handling, broadcasting mechanisms, and system components, which are core to the system's architecture and logical organization.;0,75;Design;1.0
"'24. polyglot codebase Date: 2020-03-17 Proposed We rely on scala in parts of the code base. James is written in Java for a very long time. In recent years, Java modernized a lot after a decade of slow progress. However, in the meantime, most software relying on the JVM started supporting alternative JVM languages to keep being relevant. It includes Groovy, Clojure, Scala and more recently Kotlin, to name a few. Not being open to those alternative languages can be a problem for James adoption. Nowadays, libraries and framework targeting the JVM are expected to support usage of one or several of these alternative languages. James being not only a mail server but also a development framework needs to reach those expectations. At the same time, more and more developers and languages adopt Function Programming (FP) idioms to solve their problems. We decide for options 4, 5 and IV. That means we need to write some mailets in Scala and demonstrate how it's done and then used in a running server. It also means writing and/or refactoring some server components in Scala, starting where it's the most relevant. Mailing list thread Let the users figure out how to make polyglot setups Document the usage of polyglot mailets for some popular languages Document the usage of polyglot components for some popular languages Actually implement some mailets in some popular languages Actually implement some components in some popular languages [upperroman] I. Clojure II. Groovy III. Kotlin IV. Scala Modernize parts of James code Leverage Scala richer FP ecosystem and language to overcome Java limitations on that topic Should attract people that would not like Java Adds even more knowledge requirements to contribute to James Scala build time is longer than Java build time Pros: * We don't have anything new to do Cons: * It's boring, we like new challenges * Java is declining despite language modernization, it means in the long term, less and less people will contribute to James Pros: * It's not a lot of work and yet it opens James to alternatives and can attract people outside Java developers community Cons: * Documentation without implementation often gets outdated when things move forward * We don't really gain knowledge on the polyglot matters as a community and won't be able to help users much Pros: * It opens James to alternatives and can attract people outside Java developers community Cons: * Documentation without implementation often gets outdated when things move forward * For such complex subject it's probably harder to do than actually implementing a component in another language * We don't really gain knowledge on the polyglot matters as a community and won't be able to help users much Pros: * It's probably not a lot of work, a mailet is just a simple class, probably easy to do in most JVM language * It makes us learn how it works and maybe will help us go further than the basic polyglot experience by doing small enhancements to the codebase * We can document the process and illustrate with some actual code * It opens James to alternatives and can attract people outside Java developers community Cons: * It can have a negative impact on the build time and dependencies download Pros: * Leverage a modern language for some complex components * It makes us learn how it works and maybe will help us go further than the basic polyglot experience by doing small enhancements to the codebase * We can document the process and illustrate with some actual code * It opens James to alternatives and can attract people outside Java developers community Cons: * It makes the codebase more complex, requiring knowledge in another language * It can have a negative impact on the build time and dependencies download Pros: * Functional Language Cons: * Weak popularity * No prior experience among current active commiters * Not statically typed hence less likely to fit the size of the project Pros: * More advanced than current Java on most topics Cons: * No prior experience among current active commiters * Not very FP * Replaced in JVM community by Kotlin last years Pros: * Great Intellij support * Most of the good parts of Scala * FP-ish with Arrow * Coroutine for handling high-performance IOs Cons: * No prior experience among current active commiters * Lack of some FP constructs like proper Pattern Matching, persistent collections * Despite progress done by Arrow, Kotlin community aims mostly at writing ""better Java"" Pros: * Rich FP community and ecosystem * Existing knowledge among current active commiters Cons: * Needs work to master * Can be slow to build * 3.0 will probably require code changes'";0024-polyglot-strategy.md;('apache', 'james-project');Technology;The ADR explicitly discusses implementing components and mailets in Scala, which involves selecting and applying a specific technology (Scala) to enhance the system. The focus is on choosing a language to implement parts of the codebase, aligning with technology decision scope.;0,70;Technology;1.0
'26. removing a configured additional mailboxlistener Date: 2020-04-03 Accepted (lazy consensus) Not implemented yet. Superseded by 35. Distributed Mailbox Listener Configuration James enables a user to register additional mailbox listeners. The distributed James server is handling mailbox event processing (mailboxListener execution) using a RabbitMQ work-queue per listener. The distributed James server then declares a queue upon start for each one of these user registered listeners, that it binds to the main event exchange. More information about this component, and its distributed, RabbitMQ based implementation, can be found in ADR 0036. If the user unconfigures the listener, the queue and the binding are still present but not consumed. This results in unbounded queue growth eventually causing RabbitMQ resource exhaustion and failure. A required group is a group configured within James additional mailbox listener or statically binded via Guice. We should have a queue for that mailbox listener binded to the main exchange. A registered group is a group whose queue exists in RabbitMQ and is bound to the exchange, independently of its James usage. If it is required, a consumer will consume the queue. Otherwise the queue might grow unbounded. We need a clear consensus and auditability across the James cluster about required groups (and their changes). Thus Event sourcing will maintain an aggregate tracking required groups (and their changes). Audit will be enabled by adding host and date information upon changes. A subscriber will perform changes (binds and unbinds) in registered groups following the changes of the aggregate. Event sourcing is desirable as it allows: - Detecting previously removed MailboxListener upon start - Audit of unbind decisions - Enables writing more complex business rules in the future The event sourcing system will have the following command: RequireGroups the groups that the EventBus is starting with. And the following events: RequiredGroupAdded a group is added to the required groups. RequiredGroupRemoved a group is removed from the required groups. Upon start the aggregate will be updated if needed and bindings will be adapted accordingly. Note that upon failure, registered groups will diverge from required groups. We will add a health check to diagnose such issues. Eventually, we will expose a webadmin task to reset registered groups to required groups. The queues should not be deleted to prevent message loss. Given a James topology with a non uniform configuration, the effective RabbitMQ routing will be the one of the latest started James server. We could also consider adding a webadmin endpoint to sanitize eventBus bindings, allowing more predictability than the above solution but it would require admin intervention. Discussion around the overall design proposed here.';0026-removing-configured-additional-mailboxListeners.md;('apache', 'james-project');Organizational/Process;The ADR primarily discusses implementing an event sourcing mechanism to track and manage mailbox listener groups, which pertains to team processes, auditability, and operational workflows within the system. It focuses on how to organize and control the management of listener configurations, rather than on the system's structural design, technology choices, or infrastructure.;0,60;Organizational/Process;0.0
'28. recompute mailbox quotas Date: 2020-04-03 Accepted (lazy consensus) & implemented JMAP custom quota extension, as well as IMAP RFC-2087 enables a user to monitor the amount of space and message count he is allowed to use, and that he is effectively using. To track the quota values a user is effectively using, James relies on the eventBus to increment a Cassandra counter corresponding to this user. However, upon Cassandra failure, this value can be incorrect, hence the need of correcting it. Table: imapUidTable: Holds mailbox and flags for each message, lookup by message ID Table: messageV2: Holds message metadata, independently of any mailboxes. Content of messages is stored in blobs and blobparts tables. Table: currentQuota: Holds per quota-root current values. Quota-roots defines groups of mailboxes which share quotas limitations. Operation: - Quota updates are done asynchronously (event bus + listener) for successful mailbox operations. - If the quota update is not applied, then we are inconsistent - EventBus errors are retried upon errors, counters being non-indempotent, this can result in inconsistent quotas We will implement a generic corrective task exposed via webadmin. This task can reuse the CurrentQuotaCalculator and call it for each and every quotaRoot of each user. This way, non-Cassandra implementation will also benefit from this task. This task is not concurrent-safe. Concurrent operations will result in an invalid quota to be persisted. However, as the source of truth is not altered, re-running this task will eventually return the correct result. JIRA';0028-Recompute-mailbox-quotas.md;('apache', 'james-project');Organizational/Process;The ADR describes implementing a corrective task accessible via webadmin, which pertains to operational procedures and workflows rather than system structure, technology choices, or quality attributes. It involves process-level decision-making to address data inconsistency issues.;0,60;Implementation;0.0
"'35. distributed mailbox listeners configuration Date: 2020-04-23 Proposed Supercedes 26. Removing a configured additional MailboxListener Not implemented yet. James enables a user to register additional mailbox listeners. The distributed James server is handling mailbox event processing (mailboxListener execution) using a RabbitMQ work-queue per listener. Mailbox listeners can be registered to be triggered every time an event is generated by user interaction with their mailbox. They are being executed in a distributed fashion following the workqueue messaging pattern. The ""group"" is an attribute of the mailbox listener identifying to which work queue they belong. More information about this component can be found in ADR 0036. Currently, mailbox listeners are determined by the guice bindings of the server and additional mailbox listeners defined via configuration files. While the configuration might be specific for each James server, what actually is defined in RabbitMQ is common. Heterogeneous configuration might then result in unpredictable RabbitMQ resource status. This was left as a limitation of 26. Removing a configured additional MailboxListener. We need to centralize the definition of mailbox listeners. An event sourcing system will track the configured mailbox listeners. It will have the following commands: AddListener: Add a given listener. This should be rejected if the group is already used. RemoveListener: Remove a given listener. Configuration changes are not supported. The administrator is expected to remove the given listener, then add it again. It will have the following events: ListenerAdded: A mailbox listener is added ListenerRemoved: A mailbox listener is removed A subscriber will react to these events to modify the RabbitMQ resource accordingly by adding queues, adding or removing bindings. This event sourcing system differs from the one defined in 26. Removing a configured additional MailboxListener by the fact that we should also keep track of listener configuration. Upon start, James will ensure the configured mailbox listener event sourcing system contains the guice injected listeners, and add them if missing (handling the RabbitMQ bindings by this mean), then starts the eventBus which will consume the given queues. If a listener is configured with a class unknown to James, the start-up fails and James starts in a degraded state allowing to unconfigure the faulty listener. This downgraded state will be described in a separate ADR and the link will be updated here. This differs from 26. Removing a configured additional MailboxListener by the fact we no longer need to register all listeners at once. A WebAdmin endpoint will allow: to add a listener to the one configured. Such a call: Will fail if the listener class is not on the local classpath, or if the corresponding group already used within the configured mailbox listener aggregate. Upon success the listener is added to the configured mailbox listener aggregate, and the listener is registered locally. to remove a listener. Such a call: Will fail if the listener is required by Guice bindings on the current server or if the listener is not configured. Upon success, the listener is removed from the configured mailbox listener aggregate, and the listener is unregistered locally. A broadcast on the event bus will be attempted to propagate topology changes, by the mean of a common registrationKey to all nodes, a ""TopologyChanged"" event, and a mailbox listener starting the MailboxListeners on local node upon topology changes. registrationKey concept is explained in ADR 0036. If a listener is added but is not in the classpath, an ERROR log is emitted. This can happen during a rolling upgrade, which defines a new guice binding for a new mailbox listener. Events will still be emitted (and consumed by other James servers) however a local James upgrade will be required to effectively be able to start processing these events. The binding will not need to be redefined. We will also expose an endpoint listing the groups currently in use, and for each group the associated configuration, if any. This will query the configured mailbox listener aggregate. We will introduce a health check to actually ensure that RabbitMQ resources match the configured listeners, and propose a WebAdmin endpoint to add/remove bindings/queue in a similar fashion of what had been proposed in 26. Removing a configured additional MailboxListener. This can happen if the James server performing the listener registration fails to create the group/queue. This health check will also report if this James server does not succeed to run a given listener, for instance if its class is not on the classpath. All products other than ""Distributed James"" are unchanged. All the currently configured additional listeners will need to be registered. The definition of mailbox listeners is thus centralized and we are not exposed to an heterogeneous configuration incident. Mailbox listeners no longer required by guice will still need to be instantiable (even with empty content). They will be considered as additional listener thus requiring explicit admin unconfiguration, which will be mentioned in the related upgrade instructions. Read notes about rolling upgrade scenarii. Deploying a new custom listener also describes how to deploy new custom listeners. Integration tests relying on additional mailbox listeners of the distributed James product will require to be ported to perform additional mailbox listener registry with this WebAdmin endpoint. JMAP SpamAssassin, quota mailing tests are concerned. Given a new custom listener, not yet deployed in Distributed James cluster, To deploy it, an admin needs to follow these steps: Add the jar in extension-jars folder for each James server As extension-jars is read at instantiation time, no reboot is required to instantiate the new listener. Call the webadmin endpoint alongside with listener specific configuration to enable the given custom listener. The bindings for the new listener will be created and a listener will be consuming its queue on the James server that had been treating the request. Broadcast of topology changes will ensure the new custom additional mailbox listener will then be instantiated everywhere without a reboot. During a rolling upgrade, the james version is heterogeneous across the cluster, and so might be the mailbox listeners required at the Guice level. James Server version 1 does not require listener A, James server version 2 requires listener A. Since listener A is registered, James server version 1 cannot be rebooted without being upgraded first. (As listener A cannot be instantiated) James Server version 1 requires listener A, James server version 2 does not require listener A. Upgrading to James version 2 means that listener A is still registered as an additional listener, it needs to be manually unconfigured once the rolling upgrade finished. Which is acceptable in upgrade instruction. We need to make sure the listeners could still be instantiated (even with empty code) for a transition period.'";0035-distributed-listeners-configuration.md;('apache', 'james-project');Design;The ADR primarily discusses the configuration, registration, and management of mailbox listeners within a distributed system, focusing on how components are organized and interact. It involves defining how mailbox listeners are added, removed, and synchronized across nodes, which pertains to the logical structure and organization of the system's components and their interactions.;0,85;Design;1.0
"'42. applicative read repairs (poc mailbox & mailbox-counters) Date: 2020-09-25 Adopted (lazy consensus) & implemented Completes 20. Cassandra Mailbox object consistency, 23. Cassandra Mailbox Counters inconsistencies Cassandra eventual consistency is all about ""replication"", but ""denormalization"" consistency needs to be handled at the applicative layer (due to the lack of transactions in a NoSQL database). In the past we did set up ""Solve inconsistency"" tasks that can be assimilated to Cassandra repairs. Such tasks, after being scheduled, ensure that the according entity denormalization is correctly denormalized. However, the inconsistencies persist between runs. We experienced inconsistencies in some production platform for both the mailbox entity, and the mailbox counter entity (whose table structure is exposed in these, ADRs). Monitoring is required to detect when to run them and is time consuming for the platform administrator. Given a large dataset, it could even be impossible to run such tasks in a timely fashion. Another classic eventual consistency mechanism, that enables auto-healing is read-repair. Randomly piggy back upon reads synchronous or asynchronous consistency checks. If missed a repair is performed. In order to achieve denormalization auto-healing, we thus need to implement ""applicative read repairs"". Provide a Proof of concept for ""Applicative read repairs"" for the mailbox and mailbox-counters entities. This enables read path simplification (and performance enhancements) for the mailbox object. IMAP LIST should not read mailbox counters. This information is uneeded and we should avoid paying the price of read repairs for this operation. Provide a comprehensive documentation page regarding ""Distributed James consistency model"". The expected auto-healing inconsistencies on existing deployments (at a limited configuration cost). This should ease operation of the Distributed James server. A configuration for James Distributed server will be added to control read repairs, per entity. Cassandra provides some alternative by itself: Secondary indexes avoids the denormalization in the first place. However they are not efficient in a distributed environment as each node needs to be queried, which limits ability to scale. Materialized view enables Cassandra to maintain a projection on the behalf of the application, coming with an expensive write cost, requiring synchronisation, not fit for complex denormalization (like the message one: the primary key of the originating table needs to appear in the materialized view primary key). Most of all, the updates are performed asynchronously. This mechanism is considered experimental. Cassandra BATCH suffers from the following downsides: A batch containing conditional updates can only operate within a single partition It is unadvised to update many partitions in a single batch, and keep the cardinality low for performance reasons BATCH could be a good option to keep tables synchronized, but does not apply to mailboxes (conditional update) nor counters. We already propose several tasks to solve denormalization inconsistencies. ""Applicative read repairs"" should be seen as a complement to it. Another classical mechanism in eventual consistent system is called hinted-handoff. It consists at retries (during a given period) when ""replicating"" data to other replica. We also already have a similar mechanism in James as we retry several times failures when writing data to denormalization table. Hard shut-down however defeats this strategy that is otherwise efficient to limit inconsistencies across denormalization tables. Read repairs in Cassandra 20. Cassandra Mailbox object consistency 23. Cassandra Mailbox Counters inconsistencies Hinted handoff This link documents materialized views limitations Materialized views considered experimental CQL Batch Especially:  JIRA PR discussing this ADR'";0042-applicative-read-repairs.md;('apache', 'james-project');Design;The ADR primarily discusses implementing a new approach to handle data consistency and auto-healing mechanisms at the application level, which pertains to the logical organization and behavior of the system. It focuses on how the system manages data integrity through applicative read repairs, which is a design-level concern affecting the system's architecture for data consistency and performance.;0,75;Technology;0.0
'50. implement web push for jmap Date: 2021-10-18 Accepted (lazy consensus). Implemented. Notification for newly received emails is a common feature of modern mail applications. Furthermore, real time updates across devices are a common feature. We wish to provide support for this on top of Apache James JMAP implementation for a large variety of devices. Dealing with mobile devices yield a unique set of challenges at the protocol level, including low bandwidth connection, long latencies, and the need to save battery. As such, mobile devices operating systems tend to limit background connections for applications. Thus, in order to receive notifications when the application is running on the background, one cannot rely on ADR 0047 (JMAP websocket push) - as it would imply the application maintaining a persistent connection to the server, which is battery/network consuming. As such, RFC-8620 section 7.2 JMAP specification for web push introduces the use of RFC-8030 Generic Event Delivery Using HTTP Push using an intermediate push server: a Push Gateway is used by the device to multiplex all push of all applications on a single connection. The device then register the URL of its push gateway on the application server (here JMAP server) for it to forward StateChange events to the push gateway. Implement RFC-8620 section 7.2 JMAP specification for web push. We will store StateChanges, provide a Cassandra implementation of this storage for the Distributed application. We will implement a PushClient based on reactor-netty to send events to the push gateway. We will rely on a Group listener plugged on the JMAP event bus to handle the web push - See ADR 37: Event bus. We will implement the PushSubscription/get and PushSubscription/set JMAP methods. We will also implement the verification code mechanism (a first round-trip to verify the push gateway works well). We also decided to allow a single push subscription per devideId (which includes device and APP identifier...) The notification traffic transits by some third party infrastructure which can both be a security and privacy risk. RFC-8291 Message Encryption for Web Push introduces encryption for web push messages and is integrated to JMAP web push mechanisms. This SHOULD be implemented. google/tink library provides utilities to easily do this. Our testing strategy will rely on a mock HTTP server mimicking the behavior of a push gateway. The push gateway can support rate limiting and might reject some of the messages pushed to it (HTTP 429 too many requests). Please note JMAP StateChanges is resilient to message loss (as only the latest state of the underlying object is transmitted, missing intermediate states does not imply missing changes). We do not plan on implementing retries nor adaptive push rate. RFC-8620 section 7.2 JMAP specification for web push PR of this ADR JIRA ticket about this ADR RFC-8030 Generic Event Delivery Using HTTP Push RFC-8291 Message Encryption for Web Push google/tink webpush encryption';0050-jmap-web-push.md;('apache', 'james-project');Design;The ADR primarily concerns the design and implementation of a web push notification mechanism within the system architecture, including protocols, storage, event handling, and integration points. It focuses on how the system is structured to support real-time notifications, which are core to the system's architecture rather than just technology choices or organizational processes.;0,85;Design;1.0
'3. have the master documentation in the readme Date: 2018-05-17 Accepted When joining a project everybody needs some point where he can start stepping into the system, building it, running it, understanding it. The main entrypoint is always the README. I will consider the README as the most valuable place of documentation. The README of any project shall give a new team-member everything he needs to join the team. I will take the time to provide any information that is needed to start quickly with the project in the README but not more. It should contain all requirements, the way to setup your environment, a reasonable overview of the system, pointers to all involved other project or parties. It's crucial that the contents is regularely updated and is not filled with useless waste. This is also a indicator if the project is still understandable for new team members, if it gets to complicated, something should change.';0003-have-the-master-documentation-in-the-readme.md;('arachne-framework', 'architecture');Organizational/Process;The ADR focuses on establishing a team onboarding process through documentation practices, specifically emphasizing the importance of the README as a key resource for new team members. This pertains to team workflows, responsibilities, and organizational standards rather than technical or architectural design choices.;0,75;Organizational/Process;0.0
