ADR,Organization-Project,primary_category,explanation,max_confidence_value
0004-language-choices-for-new-development.md,"('Crown-Commercial-Service', 'CCS-Architecture-Decision-Records')",Primarily Functional,"The ADR primarily discusses language choices and development considerations without referencing any specific quality attributes such as performance, security, or scalability. It focuses on functional aspects like technology selection and team skills rather than non-functional quality attributes.",0.8
0016-data-structure-tasks-submissions-entries-and-files.md,"('Crown-Commercial-Service', 'ReportMI-service-manual')",Primarily Functional,"The ADR primarily describes the data structures and entities involved in the system, focusing on how data is organized, stored, and related. It does not mention or imply any non-functional quality attributes such as performance, security, or scalability. The decision is centered on functional data modeling rather than system qualities.",0.45
0021-generate-a-data-export-for-finance.md,"('Crown-Commercial-Service', 'ReportMI-service-manual')",Primarily Functional,"The ADR primarily describes a functional aspect—generating and transferring a CSV report—without explicit reference to non-functional quality attributes such as performance, security, reliability, or usability. It focuses on the procedural and technical implementation details rather than quality attributes.",0.45
0008-api-extensions-mechanism.md,"('DFE-Digital', 'apply-for-teacher-training')",Compatibility,"The ADR primarily discusses API versioning, extension mechanisms, and implementation strategies without explicitly referencing any non-functional quality attributes. It focuses on functional aspects such as API design, extensibility, and versioning approach, which are functional concerns.",0.25
0006-use-dotenv-for-managing-environment-variables.md,"('DFE-Digital', 'buy-for-your-school')",Compatibility,"The ADR primarily discusses the choice of a tool (DotEnv) for managing environment variables, focusing on operational and procedural aspects rather than non-functional quality attributes. It does not explicitly reference performance, security, reliability, or other quality attributes, but centers on functional configuration management.",0.25
0012-automate-dqt-integration.md,"('DFE-Digital', 'claim-additional-payments-for-teaching')",Security,"The ADR emphasizes protecting the DQT dataset and ensuring that access is restricted via a protected API, indicating a focus on data security and access control measures.",0.85
007-Integration-Approaches.html.md.erb,"('DFE-Digital', 'csc-swr-architecture')",Performance,"The ADR emphasizes the development of an API Gateway, REST Proxy, and Event Backbone to facilitate data integration and event handling. These components are primarily concerned with system performance, throughput, and resource utilization to ensure efficient data flow and processing, which aligns with Performance Efficiency.",0.75
0004-non-integer-trainee-ids.md,"('DFE-Digital', 'register-trainee-teachers')",Security,"The ADR emphasizes removing predictability of IDs and avoiding reliance on database-internal identifiers, which relates to protecting data from unauthorized access or inference. The choice of using `has_secure_token` aims to generate non-predictable, unique identifiers, aligning with security concerns about predictability and data protection.",0.75
0008-use-skylight-for-performance-monitoring.md,"('DFE-Digital', 'teacher-training-api')",Performance,"The ADR explicitly discusses performance monitoring tools (Skylight and Sentry), their capabilities, and limitations, focusing on how well the system performs in terms of request tracing and response analysis. The core concern is about measuring and improving system performance, which aligns directly with Performance Efficiency.",0.9
0004_define_environments_after_gov_uk_paas_migration.md,"('DFE-Digital', 'teaching-vacancies')",Maintainability,"The ADR primarily discusses environment setup, deployment processes, and operational practices without explicit reference to non-functional quality attributes such as performance, security, or usability. It focuses on functional aspects like environment management and deployment workflows.",0.4
0010-confirm-performance-issues-before-optimizing.md,"('Datatamer', 'tamr-client')",Performance,"The ADR explicitly references performance issues, optimization, and API call efficiency, which directly relate to performance efficiency attributes such as response time and resource utilization. The decision to prioritize straightforward implementation over optimization indicates a focus on performance considerations when issues arise.",0.85
0004-inverse-relationships-sample-update.md,"('EBIBioSamples', 'biosamples-v4')",Primarily Functional,"The ADR primarily discusses a functional aspect of the system—specifically, the behavior of relationship inversion and its impact on data updates—without referencing any non-functional quality attributes such as performance, security, or usability.",0.3
74-schemaorg-additionalType-vs-RDF-typing.md,"('ESIPFed', 'science-on-schema.org')",Performance,"The ADR emphasizes optimizing code reuse and minimizing download sizes to improve load times and resource utilization, which directly relates to system performance and efficiency.",0.85
boolean.md,"('ElektraInitiative', 'libelektra')",Testability,"The ADR primarily discusses the representation and handling of boolean values within the system, focusing on data encoding and validation rather than non-functional quality attributes like performance, security, or scalability.",0.4
functions_with_buffers.md,"('ElektraInitiative', 'libelektra')",Maintainability,"The ADR primarily discusses the removal of certain functions and documentation updates related to API usage, focusing on functional aspects such as API design and usability. It does not reference or imply any non-functional quality attributes like performance, security, or scalability.",0.4
multiple_file_backends.md,"('ElektraInitiative', 'libelektra')",Primarily Functional,"The ADR primarily discusses functional aspects related to the behavior and support of multiple file backends, such as support for multiple files, fallback mechanisms, and atomicity. It does not explicitly reference or imply any non-functional quality attributes like performance, security, or usability.",0.3
store_name.md,"('ElektraInitiative', 'libelektra')",Performance,"The ADR primarily addresses memory consumption optimization by storing only the unescaped key name, which directly impacts resource utilization and system performance. The focus on reducing memory footprint indicates a concern with performance efficiency.",0.85
project-name.md,"('Financial-Times', 'dotcom-page-kit')",Performance,"The ADR discusses IPC mechanisms (ZeroMQ and Redis) in the context of inter-service and inter-process communication, which are primarily aimed at ensuring efficient data exchange and coordination between distributed components. The emphasis on lightweight messaging and managing concurrent queries suggests a focus on system responsiveness and resource utilization, aligning with performance efficiency attributes.",0.75
0003-http-api.md,"('Flowminder', 'FlowKit')",Maintainability,"The ADR emphasizes the use of Jupyter notebooks, Papermill, and Scrapbook to facilitate flexible, reusable, and modifiable workflows, which directly relates to maintainability attributes such as modularity, reusability, and ease of updates. The focus on automating workflows and sharing data between notebooks highlights concerns about making the system easier to modify and extend over time.",0.8
0004-use-create-react-app-and-npm-eject-to-create-the-basis-of-the-project-structure.md,"('FoodStandardsAgency', 'register-a-food-business-front-end')",Maintainability,"The ADR primarily discusses restructuring the data models and abstractions within the system, focusing on code organization, data overlap, and model roles. It does not explicitly reference any non-functional quality attributes such as performance, security, reliability, or usability. The focus is on data modeling and system structure, which are functional concerns.",0.4
2020-08-10-architecture-decision-records.md,"('HEPTACOM', 'heptaconnect-docs')",Maintainability,"The ADR primarily discusses functional aspects related to data emission timing and data flow models, without explicit or implied references to non-functional quality attributes such as performance, security, reliability, or others.",0.2
creating_continuous_inpatient_spells.md,"('HFAnalyticsLab', 'HES_pipeline')",Maintainability,"The ADR discusses hardcoding variable names, which impacts how easily the system can be modified or extended. This directly relates to maintainability, as hardcoded elements can hinder future updates, adaptations, and testing efforts.",0.7
0004-application-logging.md,"('HHS', 'Head-Start-TTADP')",Security,"The ADR explicitly discusses multiple security-related scans, including static security audits of dependencies and dynamic security scans of the application, indicating a primary focus on security attributes.",0.85
004-configuration-by-environment-variable.md,"('HHS', 'TANF-app')",Testability,"The ADR primarily describes a Git workflow process, focusing on procedures for code contribution, review, and merging, without explicit or implied references to system quality attributes such as performance, reliability, security, or others.",0.25
0013-handle-eventual-consistency-with-etags.md,"('Informatievlaanderen', 'publicservice-registry')",Maintainability,"The ADR discusses managing and processing data files, tracking changes, and handling complex data relationships, which relates to system modifiability, data management, and ease of updates. It emphasizes the importance of capturing changes holistically and ensuring the system can adapt to data modifications efficiently, aligning with maintainability concerns.",0.6
004-temporary-and-permanent-identifiers.md,"('Informatievlaanderen', 'road-registry')",Performance,"The ADR emphasizes improvements in startup reliability, dependency tracking, and lazy loading, which relate to system performance and efficiency during startup and operation. While not explicitly mentioning performance metrics, the focus on reducing fragility and enhancing startup efficiency suggests a concern with system performance characteristics.",0.6
0011-preinstallable-images-on-data-volume.md,"('Internet-of-People', 'titania-os')",Primarily Functional,"The ADR primarily discusses branching and release strategies, focusing on organizational and process decisions rather than system quality attributes. There are no explicit or implied references to non-functional qualities such as performance, security, reliability, or others.",1.0
0018-use-regular-expression-to-split-multiple-sentence-titles.md,"('JabRef', 'jabref')",Primarily Functional,"The ADR primarily discusses a design decision related to how preferences are stored and retrieved, focusing on the functional aspect of preference management and localization handling. It does not explicitly reference non-functional quality attributes such as performance, security, or scalability, but rather addresses a functional approach to data storage and retrieval.",0.7
0021-keep-study-as-a-dto.md,"('JabRef', 'jabref')",Maintainability,"The ADR focuses on improving the system's maintainability by moving a script into a Docker image and creating a Windows-compatible wrapper, which simplifies updates, reduces complexity, and enhances ease of modification and support across environments.",0.75
0005-use-cpp-to-interface-with-the-ftduino.md,"('KIT-SOC4S', 'ftd-scratch3-offline')",Maintainability,"The ADR focuses on structuring code into helper functions to improve code reuse, ease of updates, and simplify modifications. These aspects directly relate to maintainability, emphasizing modularity, reusability, and ease of change.",0.75
0003-Pipeline_API_Rewrite.md,"('KonduitAI', 'konduit-serving')",Performance,"The ADR primarily discusses mechanisms for downloading, caching, and accessing remote resources efficiently, which directly impacts system performance and resource utilization. The focus on caching strategies, download validation, and resource access protocols indicates a concern with performance efficiency.",0.85
0004-build-an-abstracted-resident-store.md,"('LBHackney-IT', 'evidence-api')",Performance,"The ADR emphasizes message delivery guarantees, fault tolerance, and decoupling to ensure reliable message processing, which directly relates to system responsiveness and resource utilization. The focus on guaranteed delivery and handling offline subscribers suggests an underlying concern with system performance and efficiency in message handling.",0.65
Event-Driven-Architecture.md,"('LBHackney-IT', 'lbh-adrs')",Observability,"The ADR explicitly discusses logging, monitoring, tracing, and visualization of system behavior, which directly aligns with the 'Observability' quality attribute. The focus is on making internal states inferable from external outputs to facilitate debugging and performance analysis.",0.8
0005-use-eslint.md,"('LBHackney-IT', 'lbh-frontend-react')",Maintainability,"The ADR focuses on insulating importers from internal implementation details, particularly styles and component structure, to simplify usage and reduce the effort needed to adapt or modify the system. This aligns with maintainability, as it aims to make the system easier to modify, extend, and understand.",0.75
0012-reimplement-gov-uk-frontend-javascript-internally-to-this-library.md,"('LBHackney-IT', 'lbh-frontend-react')",Performance,"The ADR emphasizes the use of IndexedDB to support offline capabilities and data persistence, which directly impacts the system's ability to perform data storage and retrieval efficiently, especially in offline scenarios. While not explicitly mentioning performance metrics, the focus on supporting offline use and data recovery implies considerations related to system responsiveness and resource utilization during data operations.",0.65
0007-use-postgres-search.md,"('LBHackney-IT', 'report-a-defect')",Scalability,"The ADR primarily discusses capacity planning and resource limits related to database plans, focusing on ensuring sufficient capacity rather than addressing system qualities like performance, security, or reliability.",0.4
adr-8-dome-ingest.md,"('MITLibraries', 'dos-server')",Primarily Functional,"The ADR primarily discusses the functional aspects of choosing a programming language based on factors like concurrency support, deployment environment, packaging, and ecosystem. It does not explicitly reference or imply any non-functional quality attributes such as performance, security, or scalability.",0.75
0005-use-aws-lambda.md,"('MITLibraries', 'mario')",Primarily Functional,"The ADR primarily discusses the choice of a documentation standard (OpenAPI Specification) for API documentation. It focuses on functional aspects related to documentation formats and tooling, without referencing any non-functional quality attributes such as performance, security, reliability, or usability.",1.0
0005-docker-containers-for-everything.md,"('NERC-CEH', 'datalab')",Maintainability,"The ADR discusses replacing an existing proxy with a new one (Traefik) due to configuration difficulties and support issues, emphasizing ease of configuration and operational reliability. These concerns relate to how easily the system can be maintained and adapted, which aligns with maintainability attributes.",0.4
0007-kubernetes-for-container-orchestration.md,"('NERC-CEH', 'datalab')",Performance,"The ADR discusses the support for WebSockets and the need for an API to configure the proxy, which relates to the system's ability to efficiently handle specific protocols and configurations. Ensuring WebSocket support and manageable configuration impacts the system's performance and responsiveness, especially in real-time data scenarios like dashboards.",0.65
0039-prometheus-operator-helm-chart.md,"('NERC-CEH', 'datalab')",Portability,"The ADR emphasizes simplifying deployment and maintenance to enhance portability across different environments, notably by moving from Vault to Kubernetes secrets. The focus on portability is evident in the context of making the system easier to deploy and maintain in various environments.",0.8
0003.md,"('ONSdigital', 'dp')",Primarily Functional,"The ADR primarily discusses the handling and publication of datasets, hierarchies, and code lists, focusing on what data is made available and how access is controlled, without explicit reference to non-functional quality attributes such as performance, security, or scalability. The mention of security is contextual and related to data sensitivity, but it does not specify security as a system-wide quality attribute. Therefore, the decision centers on functional aspects of data publication and access control.",0.3
0003-replace-rdb-with-json.md,"('ONSdigital', 'eq-author-app')",Security,"The ADR discusses the use of the 'kid' (key ID) in token headers to identify cryptographic keys used for signing and encryption, which directly relates to security concerns such as key management, access control, and data protection.",0.85
0010-cookies.md,"('ONSdigital', 'eq-questionnaire-runner')",Primarily Functional,"The ADR primarily discusses the selection of a database technology (relational vs. graph) based on data modeling and integration considerations. It does not explicitly or implicitly reference any non-functional quality attributes such as performance, reliability, security, maintainability, scalability, usability, portability, compatibility, observability, or testability. The focus is on functional aspects like data structure and integration, which fall under functional concerns.",1.0
0010-use-jest-and-cypress-for-tests.md,"('PakkuDon', 'SoundCloudVisualizer')",Performance,"The ADR primarily focuses on optimizing the lock release process to reduce latency and improve transaction throughput, which directly relates to system performance. It discusses asynchronous lock release mechanisms, latency considerations, and load reduction on the lock service, all of which are key aspects of performance efficiency.",0.85
0004-client-side-routing-using-history-api-and-redirects.md,"('PakkuDon', 'pixel-art-gallery')",Primarily Functional,"The ADR primarily discusses the choice of a frontend framework (AngularJS 1.x) without explicit mention or implication of non-functional quality attributes such as performance, security, reliability, or scalability. It focuses on the functional aspect of technology selection rather than quality attributes.",0.3
0016-structure-of-error-object.md,"('SAP', 'cloud-sdk-js')",Performance,"The ADR discusses enhancing the API to support complex OData queries, including navigation properties and raw value access, which directly impacts the efficiency of data retrieval operations. The focus on supporting high-priority query patterns suggests an emphasis on improving response times and throughput for these operations.",0.75
0019-openapi-generator-naming.md,"('SAP', 'cloud-sdk-js')",Security,"The ADR primarily discusses implementing x509-based authentication for service access, which directly relates to security attributes such as confidentiality, integrity, and secure access control. The focus on secure credential handling, TLS layer secrets, and certificate management indicates a strong emphasis on security considerations.",0.85
form-field-variations.md,"('SFDigitalServices', 'webform')",Primarily Functional,"The ADR primarily discusses a design decision related to the structure and management of notification titles within the system, focusing on consistency and centralization. It does not reference or imply any non-functional quality attributes such as performance, security, reliability, or usability. The decision is about implementation details and best practices for notification messaging, which are functional concerns.",0.2
writing-docs.md,"('Skyscanner', 'backpack')",Maintainability,"The ADR discusses a change in how the system manages the loading of context data, focusing on improving code simplicity, efficiency, and ease of modification. This aligns with maintainability, as it aims to make the system easier to modify and optimize over time.",0.6
0005-use-redis-and-bull-for-background-tasks.md,"('SmartBear', 'git-en-boite')",Performance,"The ADR explicitly discusses performance concerns related to slow git operations and the need to guarantee decent performance for users, especially under heavy IO conditions. The focus on response times and efficiency indicates a primary concern with performance attributes.",0.85
0011-put-integration-tests-in-seperate-folder.md,"('StuPro-TOSCAna', 'TOSCAna')",Primarily Functional,"The ADR primarily discusses a functional decision about whether to support node type definitions in a TOSCA template. It does not reference or imply any non-functional quality attributes such as performance, security, reliability, or others.",1.0
0016-not-supporting-type-definitions.md,"('StuPro-TOSCAna', 'TOSCAna')",Primarily Functional,"The ADR primarily discusses the selection and use of tools (CloudFormation Builder, SDK, or custom builder) to generate CloudFormation templates. It focuses on functional aspects such as creating templates and supporting development workflows, without explicit references to non-functional quality attributes like performance, security, or scalability.",0.25
2020_05_13_handling_non_crud_operations_in_api.md,"('Sylius', 'Sylius')",Primarily Functional,"The ADR primarily discusses the approach to handling resource identifiers (IRI vs. id/code) within the API, focusing on data transformation and API consistency rather than system performance, security, or other quality attributes. It centers on functional aspects of data representation and API design.",0.55
0005-inject-ab-config-global-values-toPresenter.md,"('Trendyol', 'ios-architecture-decision-logs')",Primarily Functional,"The ADR focuses solely on design guidelines and constraints related to visual and stylistic elements, with no mention or implication of non-functional quality attributes such as performance, security, reliability, or usability.",1.0
0011-use-govuk-design-system-form-builder.md,"('UKGovernmentBEIS', 'beis-report-official-development-assistance')",Security,"The ADR explicitly focuses on ensuring the application's security through static code analysis to identify security issues, and mentions maintaining security during development and the application's lifetime. The decision revolves around security concerns, making 'Security' the most appropriate primary category.",0.85
0019-use-data-migrations-to-update-live-data.md,"('UKGovernmentBEIS', 'beis-report-official-development-assistance')",Performance,"The ADR emphasizes using Terraform for infrastructure provisioning and deployment, which directly impacts the system's efficiency in resource utilization and deployment speed. While not explicitly stated, the choice of tools like Terraform and CI pipelines suggests a focus on efficient deployment processes, which aligns with performance efficiency considerations.",0.65
0024-use-scripts-to-rule-them-all.md,"('UKGovernmentBEIS', 'beis-report-official-development-assistance')",Maintainability,"The ADR focuses on changing the process of executing data migrations, emphasizing ease of modification, control, and testing of migration scripts. It discusses procedural changes to improve the manageability and safety of data migrations, which aligns with maintainability attributes.",0.6
0009-remove-hal-links.md,"('UST-QuAntiL', 'qc-atlas')",Security,"The ADR discusses JWT signing methods, which directly relate to security concerns such as data integrity, authentication, and key management. The focus on asymmetric versus symmetric signing methods implicates security attributes like confidentiality and key control.",0.8
0002-use-sha256-with-base64url-encoding.md,"('VirtualProgrammingLab', 'documentation')",Performance,"The ADR emphasizes the use of hashing and encoding techniques to verify data integrity efficiently, focusing on minimizing data transfer size and processing overhead, which relates to performance efficiency attributes.",0.75
adr-0003-nix-for-dependency-management.md,"('Vodurden', 'CrossyToad')",Maintainability,"The ADR primarily discusses the functional aspect of input handling—supporting discrete and continuous input—without explicit reference to non-functional quality attributes such as performance, security, or scalability. It focuses on how the system processes input events rather than qualities like efficiency or robustness.",0.2
0007-follow-optimistic-concurrency.md,"('VolleyManagement', 'volley-management')",Maintainability,"The ADR primarily discusses coding practices, code quality, and maintainability guidelines without explicit reference to non-functional quality attributes such as performance, security, reliability, or scalability. It focuses on coding standards and modularity, which are functional concerns related to code organization and development practices.",0.75
adr-007-pa-dep-client-app.md,"('WikiWatershed', 'model-my-watershed')",Maintainability,"The ADR emphasizes refactoring, code clarity, reusability, and onboarding improvements, all of which are core aspects of maintainability. The decision to adopt Vue and ECMAScript 2015+ aims to improve the ease of understanding, extending, and maintaining the codebase.",0.8
0004-asset-integrity-check.md,"('Y2Z', 'monolith')",Maintainability,"The ADR emphasizes establishing a uniform file structure for React applications and choosing tools (Create React App, NPM) that promote consistency and ease of maintenance. This focus on structure and tooling aligns with maintainability, as it facilitates easier updates, understanding, and modification of the project.",0.75
0277-run-action-shell-options.md,"('actions', 'runner')",Portability,"The ADR primarily discusses the configuration and support for different shell environments used to run scripts within a platform, focusing on how commands are executed rather than on system qualities like performance, security, or reliability. It does not specify or imply non-functional attributes such as performance, security, or scalability, but rather details the functional mechanism of executing scripts with various shells.",0.2
0002-add-default-implementations-to-componentlifecycle.md,"('adaptris', 'interlok')",Maintainability,"The ADR discusses adding default implementations to an interface to improve code maintainability and ease of extension, which directly relates to maintainability attributes such as modularity, reusability, and ease of modification.",0.7
0004-expose-services-through-rest-api.md,"('adhuc-projects', 'cena')",Portability,"The ADR emphasizes exposing services via a REST API, which involves considerations of platform independence, environment neutrality, and ease of transfer across different systems and environments. The focus on well-established communication protocols and self-descriptive APIs aligns with portability attributes.",0.8
0005-help-comments.md,"('adoble', 'adr-j')",Maintainability,"The ADR focuses on embedding help comments and documentation directly within the code to facilitate easier updates and maintenance of help texts, which directly relates to the maintainability attribute. It emphasizes reducing manual effort in keeping documentation current and consistent with code changes, a core aspect of maintainability.",0.75
0005-we-chose-our-primary-cloud-provider.md,"('agnesei', 'clone_difitalcitizenship')",Performance,"The ADR emphasizes the need for elastic scalability, latency guarantees, and high availability for cloud services, which are core aspects of performance efficiency. The focus on data distribution, latency, and resource management indicates a concern with how efficiently the system performs under varying loads.",0.85
0013-show-no-kickers-for-ties.md,"('alexanderbird', 'texas-holdem-code-challenge')",Primarily Functional,"The ADR focuses solely on the presentation of tie-breaker information (kickers) in a card game context, which pertains to functional display logic rather than non-functional quality attributes. There is no mention or implication of performance, security, reliability, maintainability, scalability, usability, portability, compatibility, observability, or testability.",1.0
0005-minimize-the-amount-of-code-that-must-be-tested-in-the-browser.md,"('alexanderbird', 'where-away')",Maintainability,"The ADR focuses on reducing testing complexity and effort in the browser by shifting logic to the build process, which directly relates to making the system easier to modify, understand, and maintain. It emphasizes simplifying client-side code to improve the ease of updates and testing, aligning with maintainability attributes.",0.7
adr-006-track-metrics-via-time-dimension.md,"('alphagov', 'content-data-api')",Performance,"The ADR focuses on tracking metrics through a time dimension to support analytical reporting and performance indicators, which directly relates to system performance and efficiency in processing and analyzing data over time.",0.85
0005-avoiding-initialisation-flickers.md,"('alphagov', 'content-publisher')",Performance,"The ADR primarily addresses the visual flickering issue during page load, which relates to the timing and efficiency of content rendering and user experience. The focus is on minimizing distracting flashes to improve perceived performance and user satisfaction, aligning with performance efficiency concerns.",0.75
0008-interrogation-method-iam-role.md,"('alphagov', 'csw-backend')",Security,"The ADR primarily discusses establishing a secure, low-risk method for access control via IAM roles and policies, emphasizing principles like least privilege and tamper-evidence, which are core security concerns.",0.8
adr-003-initial-data-retention-strategy.md,"('alphagov', 'email-alert-api')",Performance,"The ADR primarily focuses on data retention, archiving, and deletion processes to optimize system performance and resource utilization, especially regarding large data volumes like emails and delivery attempts. These measures aim to improve efficiency by managing data growth and ensuring timely cleanup, which directly relates to performance efficiency.",0.85
0006-puppet-architecture.md,"('alphagov', 'govuk-aws')",Maintainability,"The ADR discusses architectural choices related to deployment and operational management, such as managing Puppetmasters, deployment processes, and consistency. These aspects directly impact the ease of modifying, maintaining, and operationally supporting the system, which aligns with the 'Maintainability' quality attribute.",0.6
0017-terraform-data-structure.md,"('alphagov', 'govuk-aws')",Maintainability,"The ADR focuses on organizing configuration data in a structured, modular way to facilitate easier management, updates, and consistency across multiple projects and environments. This emphasis on structure, reusability, and ease of modification aligns closely with maintainability attributes.",0.7
0022-remove-the-elasticsearch-proxy.md,"('alphagov', 'govuk-aws')",Performance,"The ADR discusses removing a proxy layer that was previously used to load balance connections to Elasticsearch, which directly impacts the system's performance and resource utilization. The decision to eliminate the proxy aims to simplify data flow and potentially improve response times and resource efficiency, indicating a focus on performance efficiency.",0.75
0010-use-dex-idp-for-user-web-auth.md,"('alphagov', 'govuk-infrastructure')",Security,"The ADR focuses on implementing a single sign-on (SSO) service and identity provider, which directly relates to protecting user authentication and ensuring secure access control. The decision to use Dex as an identity provider emphasizes security considerations such as single sign-on, high availability, and protection against attacks.",0.7
0004-structure-for-terraform-projects.md,"('alphagov', 'govuk-kubernetes-discovery')",Maintainability,"The ADR primarily addresses the organization, modularization, and management of Terraform code and secrets, which directly impacts how easily the system can be maintained, modified, and extended over time. It emphasizes code reuse, separation of concerns, and secret encryption practices, all of which are key aspects of maintainability.",0.6
ADR003-container-orchestration.md,"('alphagov', 'gsp')",Performance,"The ADR emphasizes features such as high availability, load balancing, horizontal scalability, and self-healing, which are directly related to the system's ability to perform efficiently under varying loads and conditions. These aspects are core to performance efficiency, focusing on system responsiveness, resource utilization, and resilience.",0.75
ADR004-tenant-isolation.md,"('alphagov', 'gsp')",Primarily Functional,"The ADR primarily discusses architectural choices related to tenant isolation strategies, deployment models, and operational management. It does not explicitly reference or imply any specific non-functional quality attributes such as performance, security, reliability, or scalability. The focus is on functional aspects like environment separation and deployment architecture.",0.45
ADR022-logging.md,"('alphagov', 'gsp')",Observability,"The ADR focuses on logging, monitoring, and the ability to infer system states through logs, which aligns with the quality attribute of Observability. It discusses log collection, storage, and access for debugging and auditing, key aspects of system observability.",0.45
ADR034-one-service-operator-different-resource-kinds.md,"('alphagov', 'gsp')",Security,"The ADR explicitly mentions monitoring and maintaining security, scope, and AWS Service Operator activity, indicating a concern for security aspects such as access control, scope management, and potential vulnerabilities.",0.7
0003-use-ecs-for-initial-beta-buildout.md,"('alphagov', 'monitoring-doc')",Performance,"The ADR discusses deploying Prometheus in ECS to evaluate its effectiveness, which implies considerations related to system performance, resource utilization, and operational efficiency during the deployment and evaluation phase.",0.75
ADR007-paas-taking-ownership.md,"('alphagov', 'paas-csls-splunk-broker')",Primarily Functional,"The ADR primarily discusses ownership, maintenance, and operational responsibilities of a service broker, with no explicit or implied references to non-functional quality attributes such as performance, security, reliability, or others. It focuses on organizational and operational decisions rather than system qualities.",0.55
ADR003-AWS-credentials.html.md,"('alphagov', 'paas-team-manual')",Security,"The ADR primarily addresses the security concern of preventing credential leaks and unauthorized access to AWS resources. It discusses mechanisms like IAM roles, policies, and IP restrictions to safeguard access, which are core security attributes.",0.8
ADR004-domain-naming-scheme.html.md,"('alphagov', 'paas-team-manual')",Portability,"The ADR discusses domain naming schemes and environment-specific URLs, emphasizing the ability to transfer and adapt the system across different environments and domains. This focus aligns with portability, which includes adaptability and environment neutrality.",0.4
ADR022-web_app_language_and_framework_selection.html.md,"('alphagov', 'paas-team-manual')",Security,"The ADR emphasizes the importance of secure defaults to prevent vulnerabilities such as XSS, indicating a focus on security attributes in the decision-making process.",0.75
