ADR,Organization-Project,primary_category,explanation,max_confidence_value
0021-audit-logging.md,"('CMSgov', 'easi-app')",Others,"The ADR primarily focuses on the requirements and rules for audit logging, which directly relate to system qualities such as security, compliance, and auditability. It details what data should be logged, how it should be protected, and how often it should be reviewed, all of which are key aspects of system quality attributes.",0.5
006-authentication.md,"('CSCfi', 'rems')",Technology Decisions,"The ADR primarily discusses the implementation and support of the OpenID Connect (OIDC) protocol, including the choice of using the authorization code flow, handling cookies, and integrating with specific libraries (Auth0 Java library). These are technical choices related to the technology stack and protocol implementation, fitting best under Technology Decisions.",0.75
adr-0004-why-wrap-input-textarea.md,"('CleverCloud', 'clever-components')",Design Decisions,"The ADR discusses the rationale behind a specific UI component structure and styling approach, focusing on how the HTML elements are organized and styled to achieve desired behaviors and appearance. This pertains to the logical organization and structure of the UI components, which falls under design decisions.",0.85
0004-language-choices-for-new-development.md,"('Crown-Commercial-Service', 'CCS-Architecture-Decision-Records')",Technology Decisions,"The ADR explicitly discusses choosing programming languages and frameworks for new development, which directly pertains to the selection of technologies and platforms used in the system.",0.9
0016-data-structure-tasks-submissions-entries-and-files.md,"('Crown-Commercial-Service', 'ReportMI-service-manual')",Design Decisions,"The ADR primarily focuses on defining the data structure and the relationships between core entities (Tasks, Submissions, Entries, Files) within the system. This pertains to the logical organization and modeling of data, which falls under architecture design decisions related to data modeling and system structure.",0.85
0021-generate-a-data-export-for-finance.md,"('Crown-Commercial-Service', 'ReportMI-service-manual')",Technology Decisions,"The ADR primarily discusses the technical approach for exporting data, including generating CSV files, storing them in S3, and transferring files to the finance team. These are concrete technology choices related to data handling, storage, and transfer mechanisms, which align with the 'Technology Decisions' category.",0.8
0008-api-extensions-mechanism.md,"('DFE-Digital', 'apply-for-teacher-training')",Design Decisions,"The ADR discusses the conceptual approach to extending the API, considering mechanisms for optional fields and response customization, which relates to the logical organization and structure of the API responses. It explores different patterns and conventions (like JSON:API) and their implications, indicating a focus on the design of the API's extension mechanism rather than technology choices or deployment details.",0.75
0006-use-dotenv-for-managing-environment-variables.md,"('DFE-Digital', 'buy-for-your-school')",Technology Decisions,"The ADR explicitly discusses the choice of a specific tool, DotEnv, for managing environment variables, which is a technology selection decision. It also references related tooling (Docker Compose, Climate Control) and considerations for environment variable management, all of which pertain to the selection and use of specific technologies and libraries.",0.8
0012-automate-dqt-integration.md,"('DFE-Digital', 'claim-additional-payments-for-teaching')",Technology Decisions,"The ADR primarily discusses replacing an existing verification method with an API-based integration with the DQT system, which involves selecting and implementing specific technologies and APIs. It focuses on the choice and integration of the DQT dataset and API, indicating a technology decision.",0.7
007-Integration-Approaches.html.md.erb,"('DFE-Digital', 'csc-swr-architecture')",Design Decisions,"The ADR focuses on the approach to integrating various data sources through APIs, event backbones, and event sourcing, which pertains to the system's structural organization and data flow architecture.",0.75
0004-non-integer-trainee-ids.md,"('DFE-Digital', 'register-trainee-teachers')",Design Decisions,"The ADR discusses a change in how trainee IDs are generated and used within the system, focusing on the structure and format of identifiers, which directly impacts the system's design and data modeling. The decision about which ID scheme to implement affects URL structure, uniqueness, and system behavior, all of which are core aspects of system design and architecture.",0.85
0008-use-skylight-for-performance-monitoring.md,"('DFE-Digital', 'teacher-training-api')",Others,"The ADR focuses on selecting a performance monitoring tool to meet system performance and monitoring quality attributes, specifically addressing performance measurement and monitoring capabilities.",0.6
0004_define_environments_after_gov_uk_paas_migration.md,"('DFE-Digital', 'teaching-vacancies')",Infrastructure Decisions,"The ADR primarily discusses the setup and management of different deployment environments (staging, production, local environments), which directly relates to deployment infrastructure and environment configuration.",0.8
0010-confirm-performance-issues-before-optimizing.md,"('Datatamer', 'tamr-client')",Design Decisions,"The ADR focuses on choosing an implementation approach prioritizing simplicity and readability over performance optimization, which pertains to the logical organization and structure of the system's features and their implementation strategies.",0.85
0004-inverse-relationships-sample-update.md,"('EBIBioSamples', 'biosamples-v4')",Constraints,The ADR specifies a decision that imposes a specific behavior on the system (not changing the update date during relationship inversion) based on existing use cases and external stakeholder considerations (NCBI). This aligns with constraints that limit or specify mandatory conditions for system behavior.,0.7
74-schemaorg-additionalType-vs-RDF-typing.md,"('ESIPFed', 'science-on-schema.org')",Design Decisions,"The ADR discusses a code splitting strategy, which pertains to the logical organization and structuring of client-side code for performance optimization. It focuses on how code is divided into bundles to improve load times and reuse, which aligns with architectural concerns about system structure and component organization.",0.85
boolean.md,"('ElektraInitiative', 'libelektra')",Design Decisions,"This ADR focuses on defining the data representation and handling of boolean values within the system, which pertains to the logical structure and data modeling aspects of the architecture. It specifies how booleans are represented, validated, and interpreted, directly influencing the system's data design.",0.85
functions_with_buffers.md,"('ElektraInitiative', 'libelektra')",Crosscutting Concerns Decisions,"The ADR focuses on specific function removal and API documentation updates, which are internal code-level decisions affecting how functions are implemented and used. These are not high-level architectural or technology choices but rather detailed implementation considerations.",0.4
multiple_file_backends.md,"('ElektraInitiative', 'libelektra')",Design Decisions,"The ADR primarily discusses the architectural approach to handling multiple file backends, including the structure, organization, and logical design considerations such as support for multiple sources, fallback mechanisms, and atomicity concerns. These are core aspects of system structure and organization, fitting within the 'Design Decisions' category.",0.85
store_name.md,"('ElektraInitiative', 'libelektra')",Design Decisions,"The ADR primarily concerns the internal structure and organization of key data within the system, specifically the decision to store only the unescaped key name to optimize memory usage and API clarity. This directly impacts how the system's components are structured and how data is managed internally, which aligns with design-level considerations.",0.85
project-name.md,"('Financial-Times', 'dotcom-page-kit')",Technology Decisions,The ADR explicitly specifies the choice of communication technologies: zeromq for API-backend communication and redis for IPC within the backend. These are concrete technology selections rather than high-level design patterns or organizational processes.,0.85
0003-http-api.md,"('Flowminder', 'FlowKit')",Design Decisions,"The ADR primarily discusses the architectural role of Jupyter notebooks within the AutoFlow system, focusing on how they are integrated as central components for defining workflows and reports. The decision pertains to the logical organization and structure of the system, specifically how notebooks are used as building blocks for automation, which aligns with design-level considerations.",0.85
0004-use-create-react-app-and-npm-eject-to-create-the-basis-of-the-project-structure.md,"('FoodStandardsAgency', 'register-a-food-business-front-end')",Design Decisions,"The ADR discusses restructuring the application's models and abstractions, which directly pertains to the logical organization, structure, and decomposition of the system. It involves analyzing and potentially refactoring core data models and their relationships, characteristic of design decisions.",0.85
2020-08-10-architecture-decision-records.md,"('HEPTACOM', 'heptaconnect-docs')",Design Decisions,"The ADR focuses on the logical organization and process of data emission during exploration, specifically addressing how data sources and emission timing are managed. It discusses the structure of data flow and the implications for portal development, which relates to system organization and data handling patterns.",0.75
creating_continuous_inpatient_spells.md,"('HFAnalyticsLab', 'HES_pipeline')",Implementation Decisions,"The ADR focuses on specific implementation details related to how variable names are handled within the pipeline, such as hardcoding variable names, coercing data types, and deriving variables. These are internal code-level decisions affecting the structure and behavior of the implementation rather than high-level architecture or technology choices.",0.9
0004-application-logging.md,"('HHS', 'Head-Start-TTADP')",Others,"The ADR focuses on security-related scans (static code analysis, dependency security audit, dynamic security scan), which are primarily aimed at ensuring the system's security and overall quality attributes such as security and maintainability. These decisions are explicitly about system qualities rather than structural, technological, or organizational aspects.",0.7
004-configuration-by-environment-variable.md,"('HHS', 'TANF-app')",Organizational/Process Decisions,"The ADR describes a detailed workflow process for managing Git operations, pull requests, reviews, and approvals within a team or organizational context. It focuses on procedures, roles, and collaboration practices rather than system structure, technology choices, or quality attributes.",0.75
0013-handle-eventual-consistency-with-etags.md,"('Informatievlaanderen', 'publicservice-registry')",Design Decisions,"The ADR discusses the process of translating and managing data changes within a system, focusing on how different data files and their record types are handled to represent modifications holistically. This involves logical organization and structuring of data change representations, which aligns with design decisions related to data modeling and system structure.",0.75
004-temporary-and-permanent-identifiers.md,"('Informatievlaanderen', 'road-registry')",Infrastructure Decisions,"The ADR focuses on selecting and implementing an init system (`systemd`) which pertains to the deployment environment and runtime platform aspects of the system. It involves choices about how the system is started, managed, and configured at the OS level, fitting squarely within infrastructure concerns.",0.7
0011-preinstallable-images-on-data-volume.md,"('Internet-of-People', 'titania-os')",Organizational/Process Decisions,"The ADR primarily discusses strategies for organizing work, including branching and release processes, team responsibilities, and deployment workflows, which are characteristic of organizational and process-level decisions rather than purely technical or architectural choices.",0.75
0018-use-regular-expression-to-split-multiple-sentence-titles.md,"('JabRef', 'jabref')",Design Decisions,"The ADR discusses how preferences are stored and retrieved, focusing on the structure and organization of preference data, which relates to the logical design of the system's configuration management. It addresses the approach to handling localization at the data level, impacting how components interact with preferences, thus aligning with design considerations.",0.75
0021-keep-study-as-a-dto.md,"('JabRef', 'jabref')",Implementation Decisions,The ADR describes a specific implementation change—moving a script into a Docker image and creating platform-specific wrapper scripts. This pertains to internal code structure and deployment mechanisms rather than high-level architecture or technology choices.,0.8
0005-use-cpp-to-interface-with-the-ftduino.md,"('KIT-SOC4S', 'ftd-scratch3-offline')",Implementation Decisions,"The ADR focuses on how to implement complex functions—specifically, whether to write them directly in generated code or encapsulate them within helper functions. This pertains to internal code structuring and maintainability practices rather than high-level architecture or technology choices.",0.8
0003-Pipeline_API_Rewrite.md,"('KonduitAI', 'konduit-serving')",Technology Decisions,"The ADR primarily discusses the selection and implementation of protocols, APIs, and mechanisms for accessing remote resources via URIs and URLs, which are technological choices. It details the use of Java APIs, protocol handlers, and module dependencies to facilitate resource access, indicating a focus on technology selection and integration.",0.8
0004-build-an-abstracted-resident-store.md,"('LBHackney-IT', 'evidence-api')",Technology Decisions,The ADR primarily discusses the selection and configuration of specific AWS services (SNS and SQS) to implement an event-driven messaging architecture. This focus on choosing particular technologies and services aligns with the 'Technology Decisions' category.,0.8
Event-Driven-Architecture.md,"('LBHackney-IT', 'lbh-adrs')",Crosscutting Concerns Decisions,"The ADR focuses on observability aspects, specifically logging and tracing, which are crosscutting concerns impacting multiple system components. The decision to use AWS X-Ray pertains to system-wide monitoring, diagnostics, and performance analysis, aligning with crosscutting concerns rather than a specific architectural pattern, technology, or organizational process.",0.8
0005-use-eslint.md,"('LBHackney-IT', 'lbh-frontend-react')",Design Decisions,"The ADR focuses on the insulation of importers from internal implementation details, specifically regarding component creation and styling hierarchy. It addresses the logical organization and structure of the library's components to ensure encapsulation and ease of use, which aligns with design and component organization principles.",0.85
0012-reimplement-gov-uk-frontend-javascript-internally-to-this-library.md,"('LBHackney-IT', 'lbh-frontend-react')",Technology Decisions,"The ADR explicitly discusses supporting IndexedDB as a data store layer, which involves selecting a specific technology (IndexedDB) for data persistence in the browser environment. This decision pertains directly to the choice of technology platform for data storage.",0.8
0007-use-postgres-search.md,"('LBHackney-IT', 'report-a-defect')",Technology Decisions,"The ADR explicitly discusses selecting a specific database plan ('Hobby Basic' Postgres plan) for production use, which pertains directly to the choice of technology platform and service configuration.",0.8
adr-8-dome-ingest.md,"('MITLibraries', 'dos-server')",Technology Decisions,"The ADR explicitly discusses selecting a programming language (Go) based on various technical factors such as concurrency support, deployment environment (AWS Lambda), packaging, ecosystem, and data streaming capabilities. This decision pertains directly to the choice of technology stack and platform support.",0.85
0005-use-aws-lambda.md,"('MITLibraries', 'mario')",Technology Decisions,"The ADR explicitly discusses the choice of a documentation standard (OpenAPI Specification) for API documentation, which pertains to selecting a specific technology or standard to implement a system aspect.",0.8
0005-docker-containers-for-everything.md,"('NERC-CEH', 'datalab')",Technology Decisions,"The ADR focuses on selecting Traefik as the reverse proxy solution, which is a technology choice involving specific software. The decision pertains to the selection and implementation of a particular technology component to address functional requirements (WebSocket support, reliability).",0.8
0007-kubernetes-for-container-orchestration.md,"('NERC-CEH', 'datalab')",Technology Decisions,"The ADR primarily concerns the selection of Kong as the reverse proxy solution, which is a technology choice involving specific software (Kong) and its capabilities. The decision focuses on choosing a technology that provides an API for configuration, indicating a technology selection process rather than a design, infrastructure, or organizational decision.",0.7
0039-prometheus-operator-helm-chart.md,"('NERC-CEH', 'datalab')",Technology Decisions,"The ADR primarily concerns the selection of Kubernetes' native secret management solution over Hashicorp Vault, which is a decision about the technology platform and tools used in the system.",0.8
0003.md,"('ONSdigital', 'dp')",Constraints,"The ADR discusses specific restrictions and conditions related to data sensitivity, access, and non-publication requirements, which are characteristic of constraints imposed by business or regulatory needs.",0.6
0003-replace-rdb-with-json.md,"('ONSdigital', 'eq-author-app')",Crosscutting Concerns Decisions,This ADR focuses on a specific security-related implementation detail—using the 'kid' header to identify cryptographic keys in tokens—which impacts multiple parts of the system's security and token handling mechanisms. It addresses a crosscutting concern (key identification and rotation) that affects system security and interoperability.,0.45
0010-cookies.md,"('ONSdigital', 'eq-questionnaire-runner')",Technology Decisions,"The ADR explicitly discusses evaluating and choosing between different database technologies (relational vs. graph database), which directly pertains to selecting specific technologies and platforms.",0.9
0010-use-jest-and-cypress-for-tests.md,"('PakkuDon', 'SoundCloudVisualizer')",Design Decisions,"The ADR primarily discusses a change in the transaction protocol's lock release mechanism, focusing on the logical flow and structure of how locks are managed asynchronously. It involves designing a new concurrency model and scheduling mechanism for lock release, which pertains to the system's architecture and its behavior during transaction processing.",0.85
0004-client-side-routing-using-history-api-and-redirects.md,"('PakkuDon', 'pixel-art-gallery')",Design Decisions,"The ADR focuses on choosing a specific frontend framework (AngularJS 1.x) and describes how the existing codebase is to be restructured using AngularJS constructs. This pertains to the system's structure, components, and organization, which are core aspects of design decisions.",0.85
0016-structure-of-error-object.md,"('SAP', 'cloud-sdk-js')",Design Decisions,"The ADR primarily discusses extending and improving the API for building OData requests, focusing on URL structure, navigation, and request composition. These are core concerns related to the logical organization and structure of the system's API layer, which falls under architecture design decisions. The ADR does not specify technology choices, deployment infrastructure, organizational processes, constraints, quality attributes, or implementation details, but rather focuses on how the system's API architecture should be designed to support complex OData queries.",0.85
0019-openapi-generator-naming.md,"('SAP', 'cloud-sdk-js')",Technology Decisions,"The ADR primarily discusses the support and implementation of x509-based authentication, which involves selecting and integrating specific security protocols and standards. It details how the system should handle certificates, key management, and the use of libraries like xssec, all of which are technology choices affecting the system's security mechanism.",0.7
form-field-variations.md,"('SFDigitalServices', 'webform')",Design Decisions,"The ADR primarily addresses the organization and structure of notification titles within the system, establishing a centralized approach to managing notification types and their presentation. This pertains to the logical design and pattern of how notifications are handled and displayed, which aligns with architecture design decisions.",0.75
writing-docs.md,"('Skyscanner', 'backpack')",Organizational/Process Decisions,"The ADR discusses a procedural change in how the project loads and manages context, specifically focusing on the timing and method of context initialization and caching. This pertains to team workflows and operational procedures rather than system structure, technology, or quality attributes.",0.7
0005-use-redis-and-bull-for-background-tasks.md,"('SmartBear', 'git-en-boite')",Design Decisions,"The ADR primarily discusses the design of the system's interface to git operations, including the structure of the API, the use of ports and adapters, and the delegation of tasks to worker processes. These are core aspects of the system's architecture, focusing on how components are organized and interact.",0.75
0011-put-integration-tests-in-seperate-folder.md,"('StuPro-TOSCAna', 'TOSCAna')",Design Decisions,"The ADR discusses a specific architectural feature of the TOSCA service template—supporting or not supporting node type definitions—which directly pertains to the system's structure and capabilities. It involves decisions about the features and extensibility of the system's modeling language, aligning with design-level considerations.",0.85
0016-not-supporting-type-definitions.md,"('StuPro-TOSCAna', 'TOSCAna')",Design Decisions,"This ADR focuses on selecting and using a specific tool (CloudFormation Builder) to generate CloudFormation templates, which pertains to the logical organization and structuring of the system's development process and components. It discusses the choice of a particular approach and how it will be integrated and maintained, aligning with design-level considerations.",0.85
2020_05_13_handling_non_crud_operations_in_api.md,"('Sylius', 'Sylius')",Design Decisions,"The ADR focuses on the approach to handling resource identifiers within the API, specifically the transformation and normalization of IRIs to internal identifiers (`id`/`code`). This pertains to the logical organization and structure of how resources are referenced and managed in the system, which aligns with design decisions about system organization and data modeling.",0.85
0005-inject-ab-config-global-values-toPresenter.md,"('Trendyol', 'ios-architecture-decision-logs')",Design Decisions,"The ADR explicitly discusses creating a design guideline, including rules for UI elements such as corner radius, shadows, colors, and icons. These are directly related to the logical organization and structure of the user interface design, which falls under design decisions.",0.85
0011-use-govuk-design-system-form-builder.md,"('UKGovernmentBEIS', 'beis-report-official-development-assistance')",Others,"The ADR focuses on implementing a security analysis tool (Brakeman) to ensure the application's security posture, which directly relates to system qualities such as security and confidence in the system's safety. The decision aims to improve the security attribute of the system, making this the most relevant category.",0.6
0019-use-data-migrations-to-update-live-data.md,"('UKGovernmentBEIS', 'beis-report-official-development-assistance')",Infrastructure Decisions,"The ADR focuses on using Terraform for setting up and deploying infrastructure components within a PaaS environment, which directly pertains to deployment environment, hosting, and infrastructure provisioning. It discusses infrastructure as code and deployment automation, aligning with infrastructure-level decisions.",0.75
0024-use-scripts-to-rule-them-all.md,"('UKGovernmentBEIS', 'beis-report-official-development-assistance')",Organizational/Process Decisions,The ADR primarily discusses a change in the process of executing data migrations—shifting from automated to manual execution—highlighting a procedural decision affecting deployment practices and team workflows.,0.6
0009-remove-hal-links.md,"('UST-QuAntiL', 'qc-atlas')",Technology Decisions,"The ADR focuses on choosing a specific technology (asymmetric vs symmetric JWT signing methods), which directly pertains to the selection of cryptographic techniques and standards.",0.8
0002-use-sha256-with-base64url-encoding.md,"('VirtualProgrammingLab', 'documentation')",Technology Decisions,"The ADR primarily discusses the choice of encoding and hashing techniques for data transfer and integrity verification, which are technological solutions involving specific algorithms and encoding standards.",0.7
adr-0003-nix-for-dependency-management.md,"('Vodurden', 'CrossyToad')",Design Decisions,"The ADR focuses on how input handling is structured within the system, specifically the approach to supporting discrete and continuous input mechanisms. It discusses the architecture of the input layer, the use of SDL functions, and the internal state machinery, which are all aspects of system organization and structure.",0.85
0007-follow-optimistic-concurrency.md,"('VolleyManagement', 'volley-management')",Design Decisions,"The ADR focuses on establishing coding standards and best practices to improve code quality, maintainability, and structure. It discusses guidelines for code organization, modularity, object-oriented design, and coding conventions, which are core aspects of system design and structure rather than technology, infrastructure, or organizational processes.",0.85
adr-007-pa-dep-client-app.md,"('WikiWatershed', 'model-my-watershed')",Design Decisions,"The ADR primarily discusses the choice of a frontend framework (Vue.js) and how it will influence the structure, organization, and componentization of the frontend codebase. It focuses on architectural aspects such as refactoring, component reuse, and standardization of the frontend architecture, which are characteristic of design decisions.",0.85
0004-asset-integrity-check.md,"('Y2Z', 'monolith')",Technology Decisions,"The ADR primarily discusses the selection of tools and technologies, specifically the use of Create React App for project scaffolding and NPM for package management, which are core technology choices.",0.8
0277-run-action-shell-options.md,"('actions', 'runner')",Crosscutting Concerns Decisions,"The ADR discusses the specifics of how the 'shell' option is implemented and executed within the system, including default behaviors, command templates, and handling of different shell types. It focuses on internal mechanisms and configurations related to executing scripts with various shells, which aligns with internal code structure and implementation details rather than high-level architecture or organizational policies.",0.25
0002-add-default-implementations-to-componentlifecycle.md,"('adaptris', 'interlok')",Design Decisions,"The ADR discusses a change to the interface design by adding default methods, which directly impacts the structure and organization of the codebase. This aligns with the logical organization and structure of the system, characteristic of design decisions.",0.85
0004-expose-services-through-rest-api.md,"('adhuc-projects', 'cena')",Design Decisions,"The ADR focuses on the architectural style and structure of exposing services via REST API, which pertains to the organization, principles, and patterns of system design. It discusses adopting REST as an architectural style, emphasizing constraints like client-server separation, layered systems, statelessness, cacheability, and uniform interface, all of which are core to architecture design decisions.",0.85
0005-help-comments.md,"('adoble', 'adr-j')",Design Decisions,"The ADR focuses on the design and implementation approach for providing help comments within the code, specifically how help documentation is integrated and maintained. It discusses the structure and organization of help commands and their annotations, which relate to the logical organization and design of the system's help feature.",0.75
0005-we-chose-our-primary-cloud-provider.md,"('agnesei', 'clone_difitalcitizenship')",Technology Decisions,"The ADR explicitly states the choice of Microsoft Azure as the primary cloud provider and details the specific PaaS services to be used, which are technology selections. It focuses on selecting a platform and associated services rather than system structure, deployment environment, team processes, or constraints.",0.8
0013-show-no-kickers-for-ties.md,"('alexanderbird', 'texas-holdem-code-challenge')",Design Decisions,"The ADR pertains to a specific rule or policy regarding how information (kickers) should be displayed in the context of game logic, which directly influences the logical presentation and behavior of the system. It involves defining a particular aspect of the system's behavior and presentation logic, characteristic of design decisions.",0.75
0005-minimize-the-amount-of-code-that-must-be-tested-in-the-browser.md,"('alexanderbird', 'where-away')",Design Decisions,"The ADR focuses on the architectural approach to minimizing client-side testing by shifting logic to the build process, which pertains to the system's structure and organization of code and build steps. It addresses how the system is decomposed and how responsibilities are allocated between build and runtime, characteristic of design-level decisions.",0.85
adr-006-track-metrics-via-time-dimension.md,"('alphagov', 'content-data-api')",Technology Decisions,"The ADR primarily concerns the selection and use of a specific technology (PostgreSQL) for building a data warehouse, which falls under technology choices. While it mentions data integration and reporting, the core decision revolves around choosing a technology platform for implementation.",0.8
0005-avoiding-initialisation-flickers.md,"('alphagov', 'content-publisher')",Technology Decisions,"The ADR primarily discusses a technical approach to handling page initialization and flickering issues related to JavaScript, which involves implementing a specific class (`js-enabled`) and managing fallback behavior. This decision centers on the choice and implementation of a client-side technique to improve user experience, fitting within technology choices rather than broader design, organizational, or infrastructure concerns.",0.7
0008-interrogation-method-iam-role.md,"('alphagov', 'csw-backend')",Technology Decisions,"The ADR primarily discusses the creation and use of a Terraform module to provision IAM roles and policies, which pertains to the selection and implementation of specific technologies and tools for managing cloud infrastructure.",0.7
adr-003-initial-data-retention-strategy.md,"('alphagov', 'email-alert-api')",Constraints,"The ADR primarily discusses constraints related to data retention, GDPR compliance, and operational limits on data storage and deletion, which directly align with the Constraints category.",0.7
0006-puppet-architecture.md,"('alphagov', 'govuk-aws')",Design Decisions,"The ADR focuses on choosing an architectural pattern for configuration management (Puppetmaster vs. masterless Puppet), which pertains to the system's structural organization and deployment architecture. This aligns with design decisions related to system structure and deployment approach.",0.85
0017-terraform-data-structure.md,"('alphagov', 'govuk-aws')",Design Decisions,"The ADR describes a specific structure for Terraform data files, focusing on organizing configuration files and directory layout, which pertains to the logical organization and structure of the system's configuration management. It does not specify technology choices, deployment environments, team processes, constraints, quality attributes, or crosscutting concerns directly. Therefore, it aligns most closely with design decisions related to system organization.",0.85
0022-remove-the-elasticsearch-proxy.md,"('alphagov', 'govuk-aws')",Technology Decisions,"The ADR discusses removing a specific proxy setup for Elasticsearch and replacing it with AWS Elastic Load Balancers (ELBs). This involves evaluating and changing the technology infrastructure components used for service connectivity and load balancing, which aligns primarily with technology choices.",0.7
0010-use-dex-idp-for-user-web-auth.md,"('alphagov', 'govuk-infrastructure')",Technology Decisions,"The ADR primarily concerns the selection and configuration of an identity provider (Dex) and related authentication protocols (OAuth2, OIDC). It focuses on choosing specific technologies and standards to implement user authentication across systems.",0.7
0004-structure-for-terraform-projects.md,"('alphagov', 'govuk-kubernetes-discovery')",Design Decisions,"The ADR focuses on the organization and structure of Terraform code, including modularization, separation of concerns, and code organization strategies. These are core aspects of system architecture design, specifically related to how the system's components and codebase are structured to support maintainability, reusability, and clarity.",0.85
ADR003-container-orchestration.md,"('alphagov', 'gsp')",Technology Decisions,The ADR explicitly discusses choosing Kubernetes as the base container orchestrator and mentions various solutions and platforms related to container orchestration technologies. The focus is on selecting and leveraging specific technologies and platforms for container management.,0.7
ADR004-tenant-isolation.md,"('alphagov', 'gsp')",Infrastructure Decisions,"The ADR focuses on deployment and environment management strategies for Kubernetes clusters, AWS accounts, and VPCs, which are core aspects of infrastructure and deployment environment choices.",0.8
ADR022-logging.md,"('alphagov', 'gsp')",Crosscutting Concerns Decisions,"The ADR focuses on the logging infrastructure, specifically on how logs are collected, shipped, and stored across different sources and platforms. This pertains to a concern that impacts multiple parts of the system (various log sources and storage solutions), which aligns with the concept of crosscutting concerns, especially logging and monitoring.",0.8
ADR034-one-service-operator-different-resource-kinds.md,"('alphagov', 'gsp')",Design Decisions,"The ADR discusses the architectural approach to building a service operator, focusing on the system's structure and organization—specifically, whether to implement a single monolithic operator or multiple specialized ones. This pertains to the logical design and decomposition of the system components.",0.85
0003-use-ecs-for-initial-beta-buildout.md,"('alphagov', 'monitoring-doc')",Technology Decisions,"The ADR explicitly discusses choosing Amazon ECS as the deployment platform for the Prometheus system, which pertains directly to the selection of a specific technology platform. It also references related tools and standards like Docker, indicating a focus on technology choices rather than system structure, organizational processes, or constraints.",0.7
ADR007-paas-taking-ownership.md,"('alphagov', 'paas-csls-splunk-broker')",Organizational/Process Decisions,"The ADR primarily discusses a decision about ownership, responsibility, and operational management of a platform component, which pertains to team roles, responsibilities, and operational workflows rather than technical or architectural design choices.",0.75
ADR003-AWS-credentials.html.md,"('alphagov', 'paas-team-manual')",Infrastructure Decisions,"The ADR primarily discusses the deployment environment, specifically the use of AWS infrastructure, IAM roles, and instance profiles, which are core aspects of deployment and hosting infrastructure.",0.7
ADR004-domain-naming-scheme.html.md,"('alphagov', 'paas-team-manual')",Design Decisions,"The ADR primarily addresses the naming scheme and URL structure for different environments and applications, which pertains to the logical organization and structure of the system's domain naming conventions. It involves defining how components are named and accessed, aligning with design considerations.",0.85
ADR022-web_app_language_and_framework_selection.html.md,"('alphagov', 'paas-team-manual')",Technology Decisions,"The ADR explicitly discusses selecting a programming language (Ruby) and a web framework (Rails), which are technology choices. It also mentions support for specific frontend toolkits and standards, but the core focus is on choosing the technology stack for web development.",0.7
